Regione,Immigrati presenti negli hot spot,Immigrati presenti nei centri di accoglienza,Immigrati presenti nei centri SAI,Totale immigrati in accoglienza sul territorio,file
Totale complessivo,688,51.398,25.213,77.299,cruscotto_statistico_giornaliero_31-08-2021-accoglienza.csv
Lombardia,,7.495,2.082,9.577,cruscotto_statistico_giornaliero_31-08-2021-accoglienza.csv
Emilia-Romagna,,5.738,2.192,7.930,cruscotto_statistico_giornaliero_31-08-2021-accoglienza.csv
Sicilia,688,2.645,3.649,6.982,cruscotto_statistico_giornaliero_31-08-2021-accoglienza.csv
Piemonte,,5.219,1.729,6.948,cruscotto_statistico_giornaliero_31-08-2021-accoglienza.csv
Lazio,,4.917,1.915,6.832,cruscotto_statistico_giornaliero_31-08-2021-accoglienza.csv
Campania,,3.343,2.008,5.351,cruscotto_statistico_giornaliero_31-08-2021-accoglienza.csv
Toscana,,3.439,1.377,4.816,cruscotto_statistico_giornaliero_31-08-2021-accoglienza.csv
Calabria,,1.966,2.532,4.498,cruscotto_statistico_giornaliero_31-08-2021-accoglienza.csv
Puglia,0,1.830,2.662,4.492,cruscotto_statistico_giornaliero_31-08-2021-accoglienza.csv
Veneto,,3.705,577,4.282,cruscotto_statistico_giornaliero_31-08-2021-accoglienza.csv
Liguria,,2.334,810,3.144,cruscotto_statistico_giornaliero_31-08-2021-accoglienza.csv
Friuli-Venezia Giulia,,2.648,302,2.950,cruscotto_statistico_giornaliero_31-08-2021-accoglienza.csv
Marche,,1.344,819,2.163,cruscotto_statistico_giornaliero_31-08-2021-accoglienza.csv
Abruzzo,,1.019,515,1.534,cruscotto_statistico_giornaliero_31-08-2021-accoglienza.csv
Basilicata,,876,557,1.433,cruscotto_statistico_giornaliero_31-08-2021-accoglienza.csv
Umbria,,979,333,1.312,cruscotto_statistico_giornaliero_31-08-2021-accoglienza.csv
Trentino-Alto Adige,,934,186,1.120,cruscotto_statistico_giornaliero_31-08-2021-accoglienza.csv
Molise,,327,757,1.084,cruscotto_statistico_giornaliero_31-08-2021-accoglienza.csv
Sardegna,,598,189,787,cruscotto_statistico_giornaliero_31-08-2021-accoglienza.csv
Valle d'Aosta,,42,22,64,cruscotto_statistico_giornaliero_31-08-2021-accoglienza.csv
