Regione,Immigrati presenti negli hot spot,Immigrati presenti nei centri di accoglienza,Immigrati presenti nei centri SAI,Totale immigrati in accoglienza sul territorio,file
Totale complessivo,1.272,92.555,35.075,128.902,cruscotto_statistico_giornaliero_31-07-2023-accoglienza.csv
Lombardia,,13.080,3.152,16.232,cruscotto_statistico_giornaliero_31-07-2023-accoglienza.csv
Emilia-Romagna,,9.333,3.125,12.458,cruscotto_statistico_giornaliero_31-07-2023-accoglienza.csv
Lazio,,8.518,2.699,11.217,cruscotto_statistico_giornaliero_31-07-2023-accoglienza.csv
Piemonte,,8.756,2.333,11.089,cruscotto_statistico_giornaliero_31-07-2023-accoglienza.csv
Sicilia,1.049,3.925,5.447,10.421,cruscotto_statistico_giornaliero_31-07-2023-accoglienza.csv
Campania,,5.884,3.843,9.727,cruscotto_statistico_giornaliero_31-07-2023-accoglienza.csv
Toscana,,7.281,1.770,9.051,cruscotto_statistico_giornaliero_31-07-2023-accoglienza.csv
Veneto,,7.383,748,8.131,cruscotto_statistico_giornaliero_31-07-2023-accoglienza.csv
Puglia,223,3.159,3.038,6.420,cruscotto_statistico_giornaliero_31-07-2023-accoglienza.csv
Calabria,,2.974,2.948,5.922,cruscotto_statistico_giornaliero_31-07-2023-accoglienza.csv
Liguria,,4.397,1.043,5.440,cruscotto_statistico_giornaliero_31-07-2023-accoglienza.csv
Friuli-Venezia Giulia,,4.085,247,4.332,cruscotto_statistico_giornaliero_31-07-2023-accoglienza.csv
Marche,,2.742,1.312,4.054,cruscotto_statistico_giornaliero_31-07-2023-accoglienza.csv
Abruzzo,,2.856,871,3.727,cruscotto_statistico_giornaliero_31-07-2023-accoglienza.csv
Umbria,,2.199,423,2.622,cruscotto_statistico_giornaliero_31-07-2023-accoglienza.csv
Basilicata,,1.613,726,2.339,cruscotto_statistico_giornaliero_31-07-2023-accoglienza.csv
Sardegna,,1.893,267,2.160,cruscotto_statistico_giornaliero_31-07-2023-accoglienza.csv
Molise,,875,839,1.714,cruscotto_statistico_giornaliero_31-07-2023-accoglienza.csv
Trentino-Alto Adige,,1.499,210,1.709,cruscotto_statistico_giornaliero_31-07-2023-accoglienza.csv
Valle d'Aosta,,103,34,137,cruscotto_statistico_giornaliero_31-07-2023-accoglienza.csv
