Regione,Migranti presenti negli hot spot,Migranti presenti nei centri di accoglienza,Migranti presenti nei centri SAI,Totale migranti in accoglienza sul territorio,file
Totale complessivo,844,64.117,30.932,95.893,cruscotto_statistico_giornaliero_15-08-2022-accoglienza.csv
Lombardia,,8.039,2.795,10.834,cruscotto_statistico_giornaliero_15-08-2022-accoglienza.csv
Emilia-Romagna,,7.035,2.797,9.832,cruscotto_statistico_giornaliero_15-08-2022-accoglienza.csv
Sicilia,584,3.292,4.525,8.401,cruscotto_statistico_giornaliero_15-08-2022-accoglienza.csv
Lazio,,5.779,2.530,8.309,cruscotto_statistico_giornaliero_15-08-2022-accoglienza.csv
Piemonte,,6.145,2.086,8.231,cruscotto_statistico_giornaliero_15-08-2022-accoglienza.csv
Toscana,,5.054,1.620,6.674,cruscotto_statistico_giornaliero_15-08-2022-accoglienza.csv
Veneto,,5.120,619,5.739,cruscotto_statistico_giornaliero_15-08-2022-accoglienza.csv
Campania,,2.709,2.849,5.558,cruscotto_statistico_giornaliero_15-08-2022-accoglienza.csv
Calabria,260,2.045,2.819,4.864,cruscotto_statistico_giornaliero_15-08-2022-accoglienza.csv
Friuli-Venezia Giulia,,4.371,282,4.653,cruscotto_statistico_giornaliero_15-08-2022-accoglienza.csv
Liguria,,3.538,952,4.490,cruscotto_statistico_giornaliero_15-08-2022-accoglienza.csv
Puglia,,1.584,2.810,4.654,cruscotto_statistico_giornaliero_15-08-2022-accoglienza.csv
Marche,,2.106,1.150,3.256,cruscotto_statistico_giornaliero_15-08-2022-accoglienza.csv
Abruzzo,,1.571,682,2.253,cruscotto_statistico_giornaliero_15-08-2022-accoglienza.csv
Umbria,,1.518,406,1.924,cruscotto_statistico_giornaliero_15-08-2022-accoglienza.csv
Basilicata,,1.100,695,1.795,cruscotto_statistico_giornaliero_15-08-2022-accoglienza.csv
Trentino-Alto Adige,,1.580,211,1.791,cruscotto_statistico_giornaliero_15-08-2022-accoglienza.csv
Molise,,711,828,1.539,cruscotto_statistico_giornaliero_15-08-2022-accoglienza.csv
Sardegna,,765,244,1.009,cruscotto_statistico_giornaliero_15-08-2022-accoglienza.csv
Valle d'Aosta,,55,32,87,cruscotto_statistico_giornaliero_15-08-2022-accoglienza.csv
