Regione,Migranti presenti negli hot spot,Migranti presenti nei centri di accoglienza,Migranti presenti nei centri SIPROIMI,Totale migranti in accoglienza sul territorio,file
Totale complessivo,161,68.342,24.388,92.891,cruscotto_statistico_giornaliero_15-12-2019-accoglienza.csv
Lombardia,,10.728,2.104,12.832,cruscotto_statistico_giornaliero_15-12-2019-accoglienza.csv
Emilia-Romagna,,7.135,2.340,9.475,cruscotto_statistico_giornaliero_15-12-2019-accoglienza.csv
Lazio,,5.841,2.749,8.590,cruscotto_statistico_giornaliero_15-12-2019-accoglienza.csv
Piemonte,,6.780,1.686,8.466,cruscotto_statistico_giornaliero_15-12-2019-accoglienza.csv
Campania,,5.524,1.777,7.301,cruscotto_statistico_giornaliero_15-12-2019-accoglienza.csv
Sicilia,161,3.525,2.913,6.599,cruscotto_statistico_giornaliero_15-12-2019-accoglienza.csv
Toscana,,4.982,1.301,6.283,cruscotto_statistico_giornaliero_15-12-2019-accoglienza.csv
Veneto,,5.458,671,6.129,cruscotto_statistico_giornaliero_15-12-2019-accoglienza.csv
Puglia,0,2.351,2.342,4.693,cruscotto_statistico_giornaliero_15-12-2019-accoglienza.csv
Calabria,,2.173,1.963,4.136,cruscotto_statistico_giornaliero_15-12-2019-accoglienza.csv
Liguria,,3.028,695,3.723,cruscotto_statistico_giornaliero_15-12-2019-accoglienza.csv
Friuli-Venezia Giulia,,2.456,355,2.811,cruscotto_statistico_giornaliero_15-12-2019-accoglienza.csv
Marche,,1.528,942,2.470,cruscotto_statistico_giornaliero_15-12-2019-accoglienza.csv
Trentino-Alto Adige,,1.697,370,2.067,cruscotto_statistico_giornaliero_15-12-2019-accoglienza.csv
Abruzzo,,1.210,457,1.667,cruscotto_statistico_giornaliero_15-12-2019-accoglienza.csv
Umbria,,1.182,322,1.504,cruscotto_statistico_giornaliero_15-12-2019-accoglienza.csv
Basilicata,,981,507,1.488,cruscotto_statistico_giornaliero_15-12-2019-accoglienza.csv
Sardegna,,1.224,233,1.457,cruscotto_statistico_giornaliero_15-12-2019-accoglienza.csv
Molise,,414,637,1.051,cruscotto_statistico_giornaliero_15-12-2019-accoglienza.csv
Valle d'Aosta,,125,24,149,cruscotto_statistico_giornaliero_15-12-2019-accoglienza.csv
