Regione,Immigrati presenti negli hot spot,Immigrati presenti nei centri di accoglienza,Immigrati presenti nei centri SAI,Totale immigrati in accoglienza sul territorio,file
Totale complessivo,2.397,62.545,30.394,95.336,cruscotto_statistico_giornaliero_31-07-2022-accoglienza.csv
Lombardia,,8.046,2.705,10.751,cruscotto_statistico_giornaliero_31-07-2022-accoglienza.csv
Emilia-Romagna,,6.996,2.776,9.772,cruscotto_statistico_giornaliero_31-07-2022-accoglienza.csv
Sicilia,2.059,2.939,4.579,9.577,cruscotto_statistico_giornaliero_31-07-2022-accoglienza.csv
Lazio,,5.840,2.517,8.357,cruscotto_statistico_giornaliero_31-07-2022-accoglienza.csv
Piemonte,,6.015,2.025,8.040,cruscotto_statistico_giornaliero_31-07-2022-accoglienza.csv
Toscana,,5.018,1.627,6.645,cruscotto_statistico_giornaliero_31-07-2022-accoglienza.csv
Veneto,,5.120,621,5.741,cruscotto_statistico_giornaliero_31-07-2022-accoglienza.csv
Campania,,2.662,2.707,5.369,cruscotto_statistico_giornaliero_31-07-2022-accoglienza.csv
Puglia,338,1.681,2.774,4.793,cruscotto_statistico_giornaliero_31-07-2022-accoglienza.csv
Calabria,,1.776,2.757,4.533,cruscotto_statistico_giornaliero_31-07-2022-accoglienza.csv
Friuli-Venezia Giulia,,4.005,286,4.291,cruscotto_statistico_giornaliero_31-07-2022-accoglienza.csv
Liguria,,3.248,948,4.196,cruscotto_statistico_giornaliero_31-07-2022-accoglienza.csv
Marche,,2.012,1.125,3.137,cruscotto_statistico_giornaliero_31-07-2022-accoglienza.csv
Abruzzo,,1.544,635,2.179,cruscotto_statistico_giornaliero_31-07-2022-accoglienza.csv
Umbria,,1.544,402,1.946,cruscotto_statistico_giornaliero_31-07-2022-accoglienza.csv
Basilicata,,1.110,683,1.793,cruscotto_statistico_giornaliero_31-07-2022-accoglienza.csv
Trentino-Alto Adige,,1.570,164,1.734,cruscotto_statistico_giornaliero_31-07-2022-accoglienza.csv
Molise,,632,790,1.422,cruscotto_statistico_giornaliero_31-07-2022-accoglienza.csv
Sardegna,,730,245,975,cruscotto_statistico_giornaliero_31-07-2022-accoglienza.csv
Valle d'Aosta,,57,28,85,cruscotto_statistico_giornaliero_31-07-2022-accoglienza.csv
