Regione,Immigrati presenti negli hot spot,Immigrati presenti nei centri di accoglienza,Immigrati presenti nei centri SAI,Totale immigrati in accoglienza sul territorio,file
Totale complessivo,405,67.458,31.733,99.596,cruscotto_statistico_giornaliero_30-09-2022-accoglienza.csv
Lombardia,,8.454,2.745,11.199,cruscotto_statistico_giornaliero_30-09-2022-accoglienza.csv
Emilia-Romagna,,7.250,2.960,10.210,cruscotto_statistico_giornaliero_30-09-2022-accoglienza.csv
Piemonte,,6.498,2.116,8.614,cruscotto_statistico_giornaliero_30-09-2022-accoglienza.csv
Lazio,,6.054,2.538,8.592,cruscotto_statistico_giornaliero_30-09-2022-accoglienza.csv
Sicilia,351,3.353,4.663,8.367,cruscotto_statistico_giornaliero_30-09-2022-accoglienza.csv
Toscana,,5.228,1.672,6.900,cruscotto_statistico_giornaliero_30-09-2022-accoglienza.csv
Campania,,3.321,2.971,6.292,cruscotto_statistico_giornaliero_30-09-2022-accoglienza.csv
Veneto,,5.410,625,6.035,cruscotto_statistico_giornaliero_30-09-2022-accoglienza.csv
Puglia,54,1.953,2.979,4.986,cruscotto_statistico_giornaliero_30-09-2022-accoglienza.csv
Friuli-Venezia Giulia,,4.499,276,4.775,cruscotto_statistico_giornaliero_30-09-2022-accoglienza.csv
Calabria,,1.837,2.885,4.722,cruscotto_statistico_giornaliero_30-09-2022-accoglienza.csv
Liguria,,3.718,972,4.690,cruscotto_statistico_giornaliero_30-09-2022-accoglienza.csv
Marche,,2.175,1.150,3.325,cruscotto_statistico_giornaliero_30-09-2022-accoglienza.csv
Abruzzo,,1.770,699,2.469,cruscotto_statistico_giornaliero_30-09-2022-accoglienza.csv
Umbria,,1.581,422,2.003,cruscotto_statistico_giornaliero_30-09-2022-accoglienza.csv
Basilicata,,1.165,717,1.882,cruscotto_statistico_giornaliero_30-09-2022-accoglienza.csv
Trentino-Alto Adige,,1.552,213,1.765,cruscotto_statistico_giornaliero_30-09-2022-accoglienza.csv
Molise,,701,856,1.557,cruscotto_statistico_giornaliero_30-09-2022-accoglienza.csv
Sardegna,,849,243,1.092,cruscotto_statistico_giornaliero_30-09-2022-accoglienza.csv
Valle d'Aosta,,90,31,121,cruscotto_statistico_giornaliero_30-09-2022-accoglienza.csv
