Regione,Immigrati presenti negli hot spot,Immigrati presenti nei centri di accoglienza,Immigrati presenti nei centri SAI,Totale immigrati in accoglienza sul territorio,file
Totale complessivo,781,53.664,25.221,79.666,cruscotto_statistico_giornaliero_30-11-2021-accoglienza.csv
Lombardia,,8.038,2.051,10.089,cruscotto_statistico_giornaliero_30-11-2021-accoglienza.csv
Emilia-Romagna,,5.652,2.274,7.926,cruscotto_statistico_giornaliero_30-11-2021-accoglienza.csv
Piemonte,,5.719,1.755,7.474,cruscotto_statistico_giornaliero_30-11-2021-accoglienza.csv
Lazio,,5.003,1.901,6.904,cruscotto_statistico_giornaliero_30-11-2021-accoglienza.csv
Sicilia,504,2.387,3.872,6.763,cruscotto_statistico_giornaliero_30-11-2021-accoglienza.csv
Campania,,3.262,2.090,5.352,cruscotto_statistico_giornaliero_30-11-2021-accoglienza.csv
Toscana,,3.690,1.374,5.064,cruscotto_statistico_giornaliero_30-11-2021-accoglienza.csv
Puglia,277,1.831,2.545,4.653,cruscotto_statistico_giornaliero_30-11-2021-accoglienza.csv
Calabria,,2.073,2.194,4.267,cruscotto_statistico_giornaliero_30-11-2021-accoglienza.csv
Veneto,,3.701,550,4.251,cruscotto_statistico_giornaliero_30-11-2021-accoglienza.csv
Liguria,,2.408,846,3.254,cruscotto_statistico_giornaliero_30-11-2021-accoglienza.csv
Friuli-Venezia Giulia,,2.797,286,3.083,cruscotto_statistico_giornaliero_30-11-2021-accoglienza.csv
Marche,,1.643,908,2.551,cruscotto_statistico_giornaliero_30-11-2021-accoglienza.csv
Abruzzo,,1.192,557,1.749,cruscotto_statistico_giornaliero_30-11-2021-accoglienza.csv
Basilicata,,943,588,1.531,cruscotto_statistico_giornaliero_30-11-2021-accoglienza.csv
Umbria,,1.170,332,1.502,cruscotto_statistico_giornaliero_30-11-2021-accoglienza.csv
Trentino-Alto Adige,,932,179,1.111,cruscotto_statistico_giornaliero_30-11-2021-accoglienza.csv
Molise,,385,694,1.079,cruscotto_statistico_giornaliero_30-11-2021-accoglienza.csv
Sardegna,,802,205,1.007,cruscotto_statistico_giornaliero_30-11-2021-accoglienza.csv
Valle d'Aosta,,36,20,56,cruscotto_statistico_giornaliero_30-11-2021-accoglienza.csv
