Regione,Migranti presenti negli hot spot,Migranti presenti nei centri di accoglienza,Migranti presenti nei centri SAI,Totale migranti in accoglienza sul territorio,file
Totale complessivo,676,99.185,38.747,138.608,cruscotto_statistico_giornaliero_15-07-2025-accoglienza.csv
Lombardia,,14.202,3.222,17.424,cruscotto_statistico_giornaliero_15-07-2025-accoglienza.csv
Lazio,,10.919,2.687,13.606,cruscotto_statistico_giornaliero_15-07-2025-accoglienza.csv
Emilia-Romagna,,8.751,3.716,12.467,cruscotto_statistico_giornaliero_15-07-2025-accoglienza.csv
Piemonte,,8.894,2.471,11.365,cruscotto_statistico_giornaliero_15-07-2025-accoglienza.csv
Campania,,6.753,4.086,10.839,cruscotto_statistico_giornaliero_15-07-2025-accoglienza.csv
Sicilia,622,3.949,6.194,10.765,cruscotto_statistico_giornaliero_15-07-2025-accoglienza.csv
Toscana,,8.456,1.895,10.351,cruscotto_statistico_giornaliero_15-07-2025-accoglienza.csv
Veneto,,7.639,817,8.456,cruscotto_statistico_giornaliero_15-07-2025-accoglienza.csv
Calabria,54,3.969,3.381,7.404,cruscotto_statistico_giornaliero_15-07-2025-accoglienza.csv
Puglia,0,3.152,3.734,6.886,cruscotto_statistico_giornaliero_15-07-2025-accoglienza.csv
Liguria,,4.710,1.028,5.738,cruscotto_statistico_giornaliero_15-07-2025-accoglienza.csv
Friuli-Venezia Giulia,,3.795,247,4.042,cruscotto_statistico_giornaliero_15-07-2025-accoglienza.csv
Abruzzo,,3.034,921,3.955,cruscotto_statistico_giornaliero_15-07-2025-accoglienza.csv
Marche,,2.307,1.545,3.852,cruscotto_statistico_giornaliero_15-07-2025-accoglienza.csv
Umbria,,2.386,477,2.863,cruscotto_statistico_giornaliero_15-07-2025-accoglienza.csv
Sardegna,,2.373,288,2.661,cruscotto_statistico_giornaliero_15-07-2025-accoglienza.csv
Basilicata,,1.594,885,2.479,cruscotto_statistico_giornaliero_15-07-2025-accoglienza.csv
Molise,,807,916,1.723,cruscotto_statistico_giornaliero_15-07-2025-accoglienza.csv
Trentino-Alto Adige,,1.393,205,1.598,cruscotto_statistico_giornaliero_15-07-2025-accoglienza.csv
Valle d'Aosta,,102,32,134,cruscotto_statistico_giornaliero_15-07-2025-accoglienza.csv
