Regione,Migranti presenti negli hot spot,Migranti presenti nei centri di accoglienza,Migranti presenti nei centri SAI,Totale migranti in accoglienza sul territorio,file
Totale complessivo,349,53.893,28.272,82.514,cruscotto_statistico_giornaliero_15-04-2022-accoglienza.csv
Lombardia,,7.722,2.213,9.935,cruscotto_statistico_giornaliero_15-04-2022-accoglienza.csv
Emilia-Romagna,,6.435,2.484,8.919,cruscotto_statistico_giornaliero_15-04-2022-accoglienza.csv
Piemonte,,5.889,1.936,7.825,cruscotto_statistico_giornaliero_15-04-2022-accoglienza.csv
Lazio,,4.940,2.247,7.187,cruscotto_statistico_giornaliero_15-04-2022-accoglienza.csv
Sicilia,349,1.919,4.317,6.585,cruscotto_statistico_giornaliero_15-04-2022-accoglienza.csv
Toscana,,4.187,1.562,5.749,cruscotto_statistico_giornaliero_15-04-2022-accoglienza.csv
Campania,,2.630,2.549,5.179,cruscotto_statistico_giornaliero_15-04-2022-accoglienza.csv
Veneto,,4.018,589,4.607,cruscotto_statistico_giornaliero_15-04-2022-accoglienza.csv
Puglia,0,1.571,2.761,4.332,cruscotto_statistico_giornaliero_15-04-2022-accoglienza.csv
Calabria,,1.329,2.595,3.924,cruscotto_statistico_giornaliero_15-04-2022-accoglienza.csv
Liguria,,2.942,882,3.824,cruscotto_statistico_giornaliero_15-04-2022-accoglienza.csv
Friuli-Venezia Giulia,,2.784,297,3.081,cruscotto_statistico_giornaliero_15-04-2022-accoglienza.csv
Marche,,1.636,1.070,2.706,cruscotto_statistico_giornaliero_15-04-2022-accoglienza.csv
Abruzzo,,1.347,583,1.930,cruscotto_statistico_giornaliero_15-04-2022-accoglienza.csv
Umbria,,1.346,381,1.727,cruscotto_statistico_giornaliero_15-04-2022-accoglienza.csv
Basilicata,,920,657,1.577,cruscotto_statistico_giornaliero_15-04-2022-accoglienza.csv
Trentino-Alto Adige,,1.281,187,1.468,cruscotto_statistico_giornaliero_15-04-2022-accoglienza.csv
Molise,,347,722,1.069,cruscotto_statistico_giornaliero_15-04-2022-accoglienza.csv
Sardegna,,606,220,826,cruscotto_statistico_giornaliero_15-04-2022-accoglienza.csv
Valle d'Aosta,,44,20,64,cruscotto_statistico_giornaliero_15-04-2022-accoglienza.csv
