Regione,Migranti presenti negli hot spot,Migranti presenti nei centri di accoglienza,Migranti presenti nei centri SAI,Totale migranti in accoglienza sul territorio,file
Totale complessivo,8,102.238,35.063,137.309,cruscotto_statistico_giornaliero_29-02-2024-accoglienza.csv
Lombardia,,14.658,3.046,17.704,cruscotto_statistico_giornaliero_29-02-2024-accoglienza.csv
Emilia-Romagna,,9.608,3.330,12.938,cruscotto_statistico_giornaliero_29-02-2024-accoglienza.csv
Lazio,,9.811,2.465,12.276,cruscotto_statistico_giornaliero_29-02-2024-accoglienza.csv
Piemonte,,9.840,2.251,12.091,cruscotto_statistico_giornaliero_29-02-2024-accoglienza.csv
Campania,,7.065,3.954,11.019,cruscotto_statistico_giornaliero_29-02-2024-accoglienza.csv
Toscana,,8.128,1.794,9.922,cruscotto_statistico_giornaliero_29-02-2024-accoglienza.csv
Veneto,,8.251,767,9.018,cruscotto_statistico_giornaliero_29-02-2024-accoglienza.csv
Sicilia,3,3.625,5.307,8.935,cruscotto_statistico_giornaliero_29-02-2024-accoglienza.csv
Puglia,5,3.878,3.123,7.006,cruscotto_statistico_giornaliero_29-02-2024-accoglienza.csv
Calabria,,3.211,2.900,6.111,cruscotto_statistico_giornaliero_29-02-2024-accoglienza.csv
Liguria,,4.934,1.042,5.976,cruscotto_statistico_giornaliero_29-02-2024-accoglienza.csv
Marche,,2.889,1.384,4.273,cruscotto_statistico_giornaliero_29-02-2024-accoglienza.csv
Friuli-Venezia Giulia,,3.965,218,4.183,cruscotto_statistico_giornaliero_29-02-2024-accoglienza.csv
Abruzzo,,3.251,902,4.153,cruscotto_statistico_giornaliero_29-02-2024-accoglienza.csv
Sardegna,,2.448,272,2.720,cruscotto_statistico_giornaliero_29-02-2024-accoglienza.csv
Umbria,,2.244,440,2.684,cruscotto_statistico_giornaliero_29-02-2024-accoglienza.csv
Basilicata,,1.867,807,2.674,cruscotto_statistico_giornaliero_29-02-2024-accoglienza.csv
Molise,,930,837,1.767,cruscotto_statistico_giornaliero_29-02-2024-accoglienza.csv
Trentino-Alto Adige,,1.529,192,1.721,cruscotto_statistico_giornaliero_29-02-2024-accoglienza.csv
Valle d'Aosta,,106,32,138,cruscotto_statistico_giornaliero_29-02-2024-accoglienza.csv
