Regione,Immigrati presenti negli hot spot,Immigrati presenti nei centri di accoglienza,Immigrati presenti nei centri SAI,Totale immigrati in accoglienza sul territorio,file
Totale complessivo,214,54.343,25.574,80.131,cruscotto_statistico_giornaliero_15-02-2021_0-accoglienza.csv
Lombardia,,8.224,2.081,10.305,cruscotto_statistico_giornaliero_15-02-2021_0-accoglienza.csv
Emilia-Romagna,,5.985,2.229,8.214,cruscotto_statistico_giornaliero_15-02-2021_0-accoglienza.csv
Piemonte,,5.402,1.823,7.225,cruscotto_statistico_giornaliero_15-02-2021_0-accoglienza.csv
Lazio,,5.180,1.989,7.169,cruscotto_statistico_giornaliero_15-02-2021_0-accoglienza.csv
Sicilia,214,2.640,3.681,6.535,cruscotto_statistico_giornaliero_15-02-2021_0-accoglienza.csv
Campania,,3.761,1.976,5.737,cruscotto_statistico_giornaliero_15-02-2021_0-accoglienza.csv
Toscana,,3.649,1.300,4.949,cruscotto_statistico_giornaliero_15-02-2021_0-accoglienza.csv
Veneto,,3.903,605,4.508,cruscotto_statistico_giornaliero_15-02-2021_0-accoglienza.csv
Puglia,0,1.633,2.767,4.400,cruscotto_statistico_giornaliero_15-02-2021_0-accoglienza.csv
Calabria,,1.463,2.237,3.700,cruscotto_statistico_giornaliero_15-02-2021_0-accoglienza.csv
Liguria,,2.434,820,3.254,cruscotto_statistico_giornaliero_15-02-2021_0-accoglienza.csv
Friuli-Venezia Giulia,,2.395,306,2.701,cruscotto_statistico_giornaliero_15-02-2021_0-accoglienza.csv
Marche,,1.171,868,2.039,cruscotto_statistico_giornaliero_15-02-2021_0-accoglienza.csv
Abruzzo,,978,531,1.509,cruscotto_statistico_giornaliero_15-02-2021_0-accoglienza.csv
Basilicata,,790,562,1.352,cruscotto_statistico_giornaliero_15-02-2021_0-accoglienza.csv
Trentino-Alto Adige,,1.130,187,1.317,cruscotto_statistico_giornaliero_15-02-2021_0-accoglienza.csv
Umbria,,925,358,1.283,cruscotto_statistico_giornaliero_15-02-2021_0-accoglienza.csv
Sardegna,,874,220,1.094,cruscotto_statistico_giornaliero_15-02-2021_0-accoglienza.csv
Molise,,179,747,926,cruscotto_statistico_giornaliero_15-02-2021_0-accoglienza.csv
Valle d'Aosta,,58,24,82,cruscotto_statistico_giornaliero_15-02-2021_0-accoglienza.csv
