Regione,Migranti presenti negli hot spot,Migranti presenti nei centri di accoglienza,Migranti presenti nei centri SIPROIMI,Totale migranti in accoglienza sul territorio,file
Totale complessivo,481,69.971,24.568,95.020,cruscotto_statistico_giornaliero_30-11-2019-accoglienza.csv
Lombardia,,11.178,2.081,13.259,cruscotto_statistico_giornaliero_30-11-2019-accoglienza.csv
Emilia-Romagna,,7.252,2.210,9.462,cruscotto_statistico_giornaliero_30-11-2019-accoglienza.csv
Lazio,,5.882,2.837,8.719,cruscotto_statistico_giornaliero_30-11-2019-accoglienza.csv
Piemonte,,6.875,1.739,8.614,cruscotto_statistico_giornaliero_30-11-2019-accoglienza.csv
Campania,,5.641,1.818,7.459,cruscotto_statistico_giornaliero_30-11-2019-accoglienza.csv
Sicilia,444,3.489,2.964,6.897,cruscotto_statistico_giornaliero_30-11-2019-accoglienza.csv
Toscana,,5.105,1.305,6.410,cruscotto_statistico_giornaliero_30-11-2019-accoglienza.csv
Veneto,,5.591,676,6.267,cruscotto_statistico_giornaliero_30-11-2019-accoglienza.csv
Puglia,37,2.417,2.363,4.817,cruscotto_statistico_giornaliero_30-11-2019-accoglienza.csv
Calabria,,2.222,1.973,4.195,cruscotto_statistico_giornaliero_30-11-2019-accoglienza.csv
Liguria,,3.102,695,3.797,cruscotto_statistico_giornaliero_30-11-2019-accoglienza.csv
Friuli-Venezia Giulia,,2.573,333,2.906,cruscotto_statistico_giornaliero_30-11-2019-accoglienza.csv
Marche,,1.581,955,2.536,cruscotto_statistico_giornaliero_30-11-2019-accoglienza.csv
Trentino-Alto Adige,,1.790,361,2.151,cruscotto_statistico_giornaliero_30-11-2019-accoglienza.csv
Abruzzo,,1.218,494,1.712,cruscotto_statistico_giornaliero_30-11-2019-accoglienza.csv
Umbria,,1.179,344,1.523,cruscotto_statistico_giornaliero_30-11-2019-accoglienza.csv
Basilicata,,1.022,495,1.517,cruscotto_statistico_giornaliero_30-11-2019-accoglienza.csv
Sardegna,,1.256,229,1.485,cruscotto_statistico_giornaliero_30-11-2019-accoglienza.csv
Molise,,469,672,1.141,cruscotto_statistico_giornaliero_30-11-2019-accoglienza.csv
Valle d'Aosta,,129,24,153,cruscotto_statistico_giornaliero_30-11-2019-accoglienza.csv
