Regione,Migranti presenti negli hot spot,Migranti presenti nei centri di accoglienza,Migranti presenti nei centri SAI,Totale migranti in accoglienza sul territorio,file
Totale complessivo,423,50.714,25.938,77.075,cruscotto_statistico_giornaliero_31-01-2022-accoglienza.csv
Lombardia,,7.737,2.014,9.751,cruscotto_statistico_giornaliero_31-01-2022-accoglienza.csv
Emilia-Romagna,,5.530,2.133,7.663,cruscotto_statistico_giornaliero_31-01-2022-accoglienza.csv
Piemonte,,5.247,1.841,7.088,cruscotto_statistico_giornaliero_31-01-2022-accoglienza.csv
Lazio,,4.806,2.083,6.889,cruscotto_statistico_giornaliero_31-01-2022-accoglienza.csv
Sicilia,361,2.345,3.963,6.669,cruscotto_statistico_giornaliero_31-01-2022-accoglienza.csv
Campania,,3.020,2.227,5.247,cruscotto_statistico_giornaliero_31-01-2022-accoglienza.csv
Toscana,,3.667,1.371,5.038,cruscotto_statistico_giornaliero_31-01-2022-accoglienza.csv
Puglia,62,1.592,2.612,4.266,cruscotto_statistico_giornaliero_31-01-2022-accoglienza.csv
Veneto,,3.571,564,4.135,cruscotto_statistico_giornaliero_31-01-2022-accoglienza.csv
Calabria,,1.226,2.397,3.623,cruscotto_statistico_giornaliero_31-01-2022-accoglienza.csv
Liguria,,2.524,837,3.361,cruscotto_statistico_giornaliero_31-01-2022-accoglienza.csv
Friuli-Venezia Giulia,,2.554,291,2.845,cruscotto_statistico_giornaliero_31-01-2022-accoglienza.csv
Marche,,1.555,914,2.469,cruscotto_statistico_giornaliero_31-01-2022-accoglienza.csv
Abruzzo,,1.215,579,1.794,cruscotto_statistico_giornaliero_31-01-2022-accoglienza.csv
Basilicata,,956,628,1.584,cruscotto_statistico_giornaliero_31-01-2022-accoglienza.csv
Umbria,,1.150,348,1.498,cruscotto_statistico_giornaliero_31-01-2022-accoglienza.csv
Trentino-Alto Adige,,925,176,1.101,cruscotto_statistico_giornaliero_31-01-2022-accoglienza.csv
Molise,,370,719,1.089,cruscotto_statistico_giornaliero_31-01-2022-accoglienza.csv
Sardegna,,693,216,909,cruscotto_statistico_giornaliero_31-01-2022-accoglienza.csv
Valle d'Aosta,,31,25,56,cruscotto_statistico_giornaliero_31-01-2022-accoglienza.csv
