Regione,Immigrati presenti negli hot spot,Immigrati presenti nei centri di accoglienza,Immigrati presenti nei centri SAI,Totale immigrati in accoglienza sul territorio,file
Totale complessivo,1.485,78.746,34.741,114.972,cruscotto_statistico_giornaliero_15-04-2023-accoglienza.csv
Lombardia,,10.364,3.047,13.411,cruscotto_statistico_giornaliero_15-04-2023-accoglienza.csv
Emilia-Romagna,,8.193,3.138,11.331,cruscotto_statistico_giornaliero_15-04-2023-accoglienza.csv
Piemonte,,7.912,2.340,10.252,cruscotto_statistico_giornaliero_15-04-2023-accoglienza.csv
Lazio,,7.241,2.698,9.939,cruscotto_statistico_giornaliero_15-04-2023-accoglienza.csv
Sicilia,1.325,3.263,5.282,9.870,cruscotto_statistico_giornaliero_15-04-2023-accoglienza.csv
Toscana,,6.276,1.745,8.021,cruscotto_statistico_giornaliero_15-04-2023-accoglienza.csv
Campania,,4.396,3.545,7.941,cruscotto_statistico_giornaliero_15-04-2023-accoglienza.csv
Veneto,,6.482,737,7.219,cruscotto_statistico_giornaliero_15-04-2023-accoglienza.csv
Calabria,,2.330,3.034,5.364,cruscotto_statistico_giornaliero_15-04-2023-accoglienza.csv
Liguria,,4.237,1.077,5.314,cruscotto_statistico_giornaliero_15-04-2023-accoglienza.csv
Puglia,160,2.043,3.065,5.268,cruscotto_statistico_giornaliero_15-04-2023-accoglienza.csv
Friuli-Venezia Giulia,,3.964,243,4.207,cruscotto_statistico_giornaliero_15-04-2023-accoglienza.csv
Marche,,2.506,1.321,3.827,cruscotto_statistico_giornaliero_15-04-2023-accoglienza.csv
Abruzzo,,2.414,931,3.345,cruscotto_statistico_giornaliero_15-04-2023-accoglienza.csv
Umbria,,1.794,437,2.231,cruscotto_statistico_giornaliero_15-04-2023-accoglienza.csv
Basilicata,,1.447,699,2.146,cruscotto_statistico_giornaliero_15-04-2023-accoglienza.csv
Trentino-Alto Adige,,1.605,210,1.815,cruscotto_statistico_giornaliero_15-04-2023-accoglienza.csv
Molise,,802,881,1.683,cruscotto_statistico_giornaliero_15-04-2023-accoglienza.csv
Sardegna,,1.368,274,1.642,cruscotto_statistico_giornaliero_15-04-2023-accoglienza.csv
Valle d'Aosta,,109,37,146,cruscotto_statistico_giornaliero_15-04-2023-accoglienza.csv
