Regione,Immigrati presenti negli hot spot,Immigrati presenti nei centri di accoglienza,Immigrati presenti nei centri SIPROIMI,Totale immigrati in accoglienza sul territorio,file
Totale complessivo,205,64.319,23.016,87.540,cruscotto_statistico_giornaliero_15-02-2020-accoglienza.csv
Lombardia,,10.098,2.031,12.129,cruscotto_statistico_giornaliero_15-02-2020-accoglienza.csv
Emilia-Romagna,,6.810,2.002,8.812,cruscotto_statistico_giornaliero_15-02-2020-accoglienza.csv
Piemonte,,6.597,1.715,8.312,cruscotto_statistico_giornaliero_15-02-2020-accoglienza.csv
Lazio,,5.566,2.349,7.915,cruscotto_statistico_giornaliero_15-02-2020-accoglienza.csv
Campania,,5.069,1.717,6.786,cruscotto_statistico_giornaliero_15-02-2020-accoglienza.csv
Sicilia,205,3.220,2.649,6.074,cruscotto_statistico_giornaliero_15-02-2020-accoglienza.csv
Veneto,,5.212,609,5.821,cruscotto_statistico_giornaliero_15-02-2020-accoglienza.csv
Toscana,,4.521,1.279,5.800,cruscotto_statistico_giornaliero_15-02-2020-accoglienza.csv
Puglia,0,2.086,2.379,4.465,cruscotto_statistico_giornaliero_15-02-2020-accoglienza.csv
Calabria,,2.067,1.914,3.981,cruscotto_statistico_giornaliero_15-02-2020-accoglienza.csv
Liguria,,2.824,697,3.521,cruscotto_statistico_giornaliero_15-02-2020-accoglienza.csv
Friuli-Venezia Giulia,,2.322,307,2.629,cruscotto_statistico_giornaliero_15-02-2020-accoglienza.csv
Marche,,1.400,870,2.270,cruscotto_statistico_giornaliero_15-02-2020-accoglienza.csv
Trentino-Alto Adige,,1.599,364,1.963,cruscotto_statistico_giornaliero_15-02-2020-accoglienza.csv
Abruzzo,,1.262,463,1.725,cruscotto_statistico_giornaliero_15-02-2020-accoglienza.csv
Basilicata,,978,465,1.443,cruscotto_statistico_giornaliero_15-02-2020-accoglienza.csv
Umbria,,1.112,307,1.419,cruscotto_statistico_giornaliero_15-02-2020-accoglienza.csv
Sardegna,,1.067,217,1.284,cruscotto_statistico_giornaliero_15-02-2020-accoglienza.csv
Molise,,401,658,1.059,cruscotto_statistico_giornaliero_15-02-2020-accoglienza.csv
Valle d'Aosta,,108,24,132,cruscotto_statistico_giornaliero_15-02-2020-accoglienza.csv
