Regione,Immigrati presenti negli hot spot,Immigrati presenti nei centri di accoglienza,Immigrati presenti nei centri SAI,Totale immigrati in accoglienza sul territorio,file
Totale complessivo,321,52.263,25.311,77.895,cruscotto_statistico_giornaliero_28-02-2021-accoglienza.csv
Lombardia,,8.090,2.081,10.171,cruscotto_statistico_giornaliero_28-02-2021-accoglienza.csv
Emilia-Romagna,,5.883,2.229,8.112,cruscotto_statistico_giornaliero_28-02-2021-accoglienza.csv
Lazio,,5.204,1.989,7.193,cruscotto_statistico_giornaliero_28-02-2021-accoglienza.csv
Piemonte,,5.362,1.823,7.185,cruscotto_statistico_giornaliero_28-02-2021-accoglienza.csv
Sicilia,321,2.657,3.681,6.659,cruscotto_statistico_giornaliero_28-02-2021-accoglienza.csv
Campania,,3.693,1.976,5.669,cruscotto_statistico_giornaliero_28-02-2021-accoglienza.csv
Toscana,,3.617,1.300,4.917,cruscotto_statistico_giornaliero_28-02-2021-accoglienza.csv
Veneto,,3.875,605,4.480,cruscotto_statistico_giornaliero_28-02-2021-accoglienza.csv
Puglia,0,1.523,2.767,4.290,cruscotto_statistico_giornaliero_28-02-2021-accoglienza.csv
Calabria,,1.621,2.237,3.858,cruscotto_statistico_giornaliero_28-02-2021-accoglienza.csv
Liguria,,2.436,820,3.256,cruscotto_statistico_giornaliero_28-02-2021-accoglienza.csv
Friuli-Venezia Giulia,,2.337,306,2.643,cruscotto_statistico_giornaliero_28-02-2021-accoglienza.csv
Marche,,1.164,868,2.032,cruscotto_statistico_giornaliero_28-02-2021-accoglienza.csv
Abruzzo,,943,531,1.474,cruscotto_statistico_giornaliero_28-02-2021-accoglienza.csv
Basilicata,,766,562,1.328,cruscotto_statistico_giornaliero_28-02-2021-accoglienza.csv
Trentino-Alto Adige,,1.128,187,1.315,cruscotto_statistico_giornaliero_28-02-2021-accoglienza.csv
Umbria,,920,358,1.278,cruscotto_statistico_giornaliero_28-02-2021-accoglienza.csv
Sardegna,,816,220,1.036,cruscotto_statistico_giornaliero_28-02-2021-accoglienza.csv
Molise,,169,747,916,cruscotto_statistico_giornaliero_28-02-2021-accoglienza.csv
Valle d'Aosta,,59,24,83,cruscotto_statistico_giornaliero_28-02-2021-accoglienza.csv
