Regione,Migranti presenti negli hot spot,Migranti presenti nei centri di accoglienza,Migranti presenti nei centri SIPROIMI,Totale migranti in accoglienza sul territorio,file
Totale complessivo,601,60.781,23.409,84.791,cruscotto_statistico_giornaliero_15-08-2020-accoglienza.csv
Lombardia,,9.240,1.913,11.153,cruscotto_statistico_giornaliero_15-08-2020-accoglienza.csv
Emilia-Romagna,,6.587,2.210,8.797,cruscotto_statistico_giornaliero_15-08-2020-accoglienza.csv
Lazio,,5.562,2.292,7.854,cruscotto_statistico_giornaliero_15-08-2020-accoglienza.csv
Piemonte,,6.110,1.696,7.806,cruscotto_statistico_giornaliero_15-08-2020-accoglienza.csv
Sicilia,601,3.654,3.178,7.433,cruscotto_statistico_giornaliero_15-08-2020-accoglienza.csv
Campania,,4.531,1.692,6.223,cruscotto_statistico_giornaliero_15-08-2020-accoglienza.csv
Toscana,,4.204,1.296,5.500,cruscotto_statistico_giornaliero_15-08-2020-accoglienza.csv
Veneto,,4.647,636,5.283,cruscotto_statistico_giornaliero_15-08-2020-accoglienza.csv
Puglia,0,1.573,2.492,4.065,cruscotto_statistico_giornaliero_15-08-2020-accoglienza.csv
Calabria,,1.762,1.852,3.614,cruscotto_statistico_giornaliero_15-08-2020-accoglienza.csv
Liguria,,2.670,683,3.353,cruscotto_statistico_giornaliero_15-08-2020-accoglienza.csv
Friuli-Venezia Giulia,,2.768,309,3.077,cruscotto_statistico_giornaliero_15-08-2020-accoglienza.csv
Marche,,1.162,917,2.079,cruscotto_statistico_giornaliero_15-08-2020-accoglienza.csv
Trentino-Alto Adige,,1.385,351,1.736,cruscotto_statistico_giornaliero_15-08-2020-accoglienza.csv
Abruzzo,,1.309,396,1.705,cruscotto_statistico_giornaliero_15-08-2020-accoglienza.csv
Basilicata,,957,433,1.390,cruscotto_statistico_giornaliero_15-08-2020-accoglienza.csv
Umbria,,1.074,274,1.348,cruscotto_statistico_giornaliero_15-08-2020-accoglienza.csv
Sardegna,,1.117,175,1.292,cruscotto_statistico_giornaliero_15-08-2020-accoglienza.csv
Molise,,379,591,970,cruscotto_statistico_giornaliero_15-08-2020-accoglienza.csv
Valle d'Aosta,,90,23,113,cruscotto_statistico_giornaliero_15-08-2020-accoglienza.csv
