Regione,Migranti presenti negli hot spot,Migranti presenti nei centri di accoglienza,Migranti presenti nei centri SIPROIMI,Totale migranti in accoglienza sul territorio,file
Totale complessivo,350,71.935,24.577,96.862,cruscotto_statistico_giornaliero_31-10-2019-accoglienza.csv
Lombardia,,11.404,2.108,13.512,cruscotto_statistico_giornaliero_31-10-2019-accoglienza.csv
Emilia-Romagna,,7.377,2.216,9.593,cruscotto_statistico_giornaliero_31-10-2019-accoglienza.csv
Piemonte,,7.110,1.748,8.858,cruscotto_statistico_giornaliero_31-10-2019-accoglienza.csv
Lazio,,5.963,2.811,8.774,cruscotto_statistico_giornaliero_31-10-2019-accoglienza.csv
Campania,,5.887,1.812,7.699,cruscotto_statistico_giornaliero_31-10-2019-accoglienza.csv
Sicilia,350,3.494,3.051,6.895,cruscotto_statistico_giornaliero_31-10-2019-accoglienza.csv
Toscana,,5.420,1.303,6.723,cruscotto_statistico_giornaliero_31-10-2019-accoglienza.csv
Veneto,,5.831,681,6.512,cruscotto_statistico_giornaliero_31-10-2019-accoglienza.csv
Puglia,0,2.413,2.260,4.673,cruscotto_statistico_giornaliero_31-10-2019-accoglienza.csv
Calabria,,2.029,2.000,4.029,cruscotto_statistico_giornaliero_31-10-2019-accoglienza.csv
Liguria,,3.141,715,3.856,cruscotto_statistico_giornaliero_31-10-2019-accoglienza.csv
Friuli-Venezia Giulia,,2.650,353,3.003,cruscotto_statistico_giornaliero_31-10-2019-accoglienza.csv
Marche,,1.690,914,2.604,cruscotto_statistico_giornaliero_31-10-2019-accoglienza.csv
Trentino-Alto Adige,,1.831,362,2.193,cruscotto_statistico_giornaliero_31-10-2019-accoglienza.csv
Abruzzo,,1.298,484,1.782,cruscotto_statistico_giornaliero_31-10-2019-accoglienza.csv
Umbria,,1.274,373,1.647,cruscotto_statistico_giornaliero_31-10-2019-accoglienza.csv
Sardegna,,1.341,230,1.571,cruscotto_statistico_giornaliero_31-10-2019-accoglienza.csv
Basilicata,,1.061,499,1.560,cruscotto_statistico_giornaliero_31-10-2019-accoglienza.csv
Molise,,576,632,1.208,cruscotto_statistico_giornaliero_31-10-2019-accoglienza.csv
Valle d'Aosta,,145,25,170,cruscotto_statistico_giornaliero_31-10-2019-accoglienza.csv
