Regione,Immigrati presenti negli hot spot,Immigrati presenti nei centri di accoglienza,Immigrati presenti nei centri SAI,Totale immigrati in accoglienza sul territorio,file
Totale complessivo,1.694,66.114,30.932,98.740,cruscotto_statistico_giornaliero_31-08-2022-accoglienza.csv
Lombardia,,8.196,2.795,10.991,cruscotto_statistico_giornaliero_31-08-2022-accoglienza.csv
Emilia-Romagna,,7.137,2.797,9.934,cruscotto_statistico_giornaliero_31-08-2022-accoglienza.csv
Sicilia,1.385,3.371,4.525,9.281,cruscotto_statistico_giornaliero_31-08-2022-accoglienza.csv
Lazio,,5.880,2.530,8.410,cruscotto_statistico_giornaliero_31-08-2022-accoglienza.csv
Piemonte,,6.185,2.086,8.271,cruscotto_statistico_giornaliero_31-08-2022-accoglienza.csv
Toscana,,5.048,1.620,6.668,cruscotto_statistico_giornaliero_31-08-2022-accoglienza.csv
Veneto,,5.335,619,5.954,cruscotto_statistico_giornaliero_31-08-2022-accoglienza.csv
Campania,,2.915,2.849,5.764,cruscotto_statistico_giornaliero_31-08-2022-accoglienza.csv
Calabria,,2.300,2.819,5.119,cruscotto_statistico_giornaliero_31-08-2022-accoglienza.csv
Friuli-Venezia Giulia,,4.577,282,4.859,cruscotto_statistico_giornaliero_31-08-2022-accoglienza.csv
Puglia,309,1.722,2.810,4.841,cruscotto_statistico_giornaliero_31-08-2022-accoglienza.csv
Liguria,,3.680,952,4.632,cruscotto_statistico_giornaliero_31-08-2022-accoglienza.csv
Marche,,2.170,1.150,3.320,cruscotto_statistico_giornaliero_31-08-2022-accoglienza.csv
Abruzzo,,1.639,682,2.321,cruscotto_statistico_giornaliero_31-08-2022-accoglienza.csv
Umbria,,1.589,406,1.995,cruscotto_statistico_giornaliero_31-08-2022-accoglienza.csv
Basilicata,,1.117,695,1.812,cruscotto_statistico_giornaliero_31-08-2022-accoglienza.csv
Trentino-Alto Adige,,1.585,211,1.796,cruscotto_statistico_giornaliero_31-08-2022-accoglienza.csv
Molise,,693,828,1.521,cruscotto_statistico_giornaliero_31-08-2022-accoglienza.csv
Sardegna,,908,244,1.152,cruscotto_statistico_giornaliero_31-08-2022-accoglienza.csv
Valle d'Aosta,,67,32,99,cruscotto_statistico_giornaliero_31-08-2022-accoglienza.csv
