Regione,Migranti presenti negli hot spot,Migranti presenti nei centri di accoglienza,Migranti presenti nei centri SAI,Totale migranti in accoglienza sul territorio,file
Totale complessivo,828,105.911,34.367,141.106,cruscotto_statistico_giornaliero_15-10-2023-accoglienza.csv
Lombardia,,14.662,3.067,17.729,cruscotto_statistico_giornaliero_15-10-2023-accoglienza.csv
Emilia-Romagna,,9.996,3.230,13.226,cruscotto_statistico_giornaliero_15-10-2023-accoglienza.csv
Piemonte,,9.986,2.330,12.316,cruscotto_statistico_giornaliero_15-10-2023-accoglienza.csv
Lazio,,9.780,2.442,12.222,cruscotto_statistico_giornaliero_15-10-2023-accoglienza.csv
Campania,,7.441,3.796,11.237,cruscotto_statistico_giornaliero_15-10-2023-accoglienza.csv
Toscana,,8.659,1.771,10.430,cruscotto_statistico_giornaliero_15-10-2023-accoglienza.csv
Sicilia,644,4.259,5.151,10.054,cruscotto_statistico_giornaliero_15-10-2023-accoglienza.csv
Veneto,,8.102,776,8.878,cruscotto_statistico_giornaliero_15-10-2023-accoglienza.csv
Puglia,184,4.300,2.953,7.437,cruscotto_statistico_giornaliero_15-10-2023-accoglienza.csv
Calabria,,4.027,2.923,6.950,cruscotto_statistico_giornaliero_15-10-2023-accoglienza.csv
Liguria,,4.947,1.035,5.982,cruscotto_statistico_giornaliero_15-10-2023-accoglienza.csv
Friuli-Venezia Giulia,,4.253,230,4.483,cruscotto_statistico_giornaliero_15-10-2023-accoglienza.csv
Abruzzo,,3.459,881,4.340,cruscotto_statistico_giornaliero_15-10-2023-accoglienza.csv
Marche,,2.903,1.332,4.235,cruscotto_statistico_giornaliero_15-10-2023-accoglienza.csv
Umbria,,2.305,414,2.719,cruscotto_statistico_giornaliero_15-10-2023-accoglienza.csv
Sardegna,,2.392,283,2.675,cruscotto_statistico_giornaliero_15-10-2023-accoglienza.csv
Basilicata,,1.940,672,2.612,cruscotto_statistico_giornaliero_15-10-2023-accoglienza.csv
Molise,,935,848,1.783,cruscotto_statistico_giornaliero_15-10-2023-accoglienza.csv
Trentino-Alto Adige,,1.461,199,1.660,cruscotto_statistico_giornaliero_15-10-2023-accoglienza.csv
Valle d'Aosta,,104,34,138,cruscotto_statistico_giornaliero_15-10-2023-accoglienza.csv
