Regione,Migranti presenti negli hot spot,Migranti presenti nei centri di accoglienza,Migranti presenti nei centri SAI,Totale migranti in accoglienza sul territorio,file
Totale complessivo,885,55.996,28.773,85.654,cruscotto_statistico_giornaliero_15-05-2022-accoglienza.csv
Lombardia,,7.720,2.416,10.136,cruscotto_statistico_giornaliero_15-05-2022-accoglienza.csv
Emilia-Romagna,,6.738,2.540,9.278,cruscotto_statistico_giornaliero_15-05-2022-accoglienza.csv
Piemonte,,5.905,1.968,7.873,cruscotto_statistico_giornaliero_15-05-2022-accoglienza.csv
Lazio,,5.119,2.308,7.427,cruscotto_statistico_giornaliero_15-05-2022-accoglienza.csv
Sicilia,885,2.221,4.318,7.424,cruscotto_statistico_giornaliero_15-05-2022-accoglienza.csv
Toscana,,4.439,1.602,6.041,cruscotto_statistico_giornaliero_15-05-2022-accoglienza.csv
Campania,,2.611,2.568,5.179,cruscotto_statistico_giornaliero_15-05-2022-accoglienza.csv
Veneto,,4.252,605,4.857,cruscotto_statistico_giornaliero_15-05-2022-accoglienza.csv
Puglia,0,1.577,2.727,4.304,cruscotto_statistico_giornaliero_15-05-2022-accoglienza.csv
Liguria,,3.104,909,4.013,cruscotto_statistico_giornaliero_15-05-2022-accoglienza.csv
Calabria,,1.301,2.640,3.941,cruscotto_statistico_giornaliero_15-05-2022-accoglienza.csv
Friuli-Venezia Giulia,,3.020,295,3.315,cruscotto_statistico_giornaliero_15-05-2022-accoglienza.csv
Marche,,1.678,1.084,2.762,cruscotto_statistico_giornaliero_15-05-2022-accoglienza.csv
Abruzzo,,1.455,594,2.049,cruscotto_statistico_giornaliero_15-05-2022-accoglienza.csv
Umbria,,1.383,368,1.751,cruscotto_statistico_giornaliero_15-05-2022-accoglienza.csv
Trentino-Alto Adige,,1.405,186,1.591,cruscotto_statistico_giornaliero_15-05-2022-accoglienza.csv
Basilicata,,956,632,1.588,cruscotto_statistico_giornaliero_15-05-2022-accoglienza.csv
Molise,,404,755,1.159,cruscotto_statistico_giornaliero_15-05-2022-accoglienza.csv
Sardegna,,667,230,897,cruscotto_statistico_giornaliero_15-05-2022-accoglienza.csv
Valle d'Aosta,,41,28,69,cruscotto_statistico_giornaliero_15-05-2022-accoglienza.csv
