Regione,Migranti presenti negli hot spot,Migranti presenti nei centri di accoglienza,Migranti presenti nei centri SAI,Totale migranti in accoglienza sul territorio,file
Totale complessivo,93,100.744,37.267,138.104,cruscotto_statistico_giornaliero_15-09-2024-accoglienza.csv
Lombardia,,14.966,3.239,18.205,cruscotto_statistico_giornaliero_15-09-2024-accoglienza.csv
Emilia-Romagna,,9.269,3.571,12.840,cruscotto_statistico_giornaliero_15-09-2024-accoglienza.csv
Lazio,,10.270,2.489,12.759,cruscotto_statistico_giornaliero_15-09-2024-accoglienza.csv
Piemonte,,9.317,2.341,11.658,cruscotto_statistico_giornaliero_15-09-2024-accoglienza.csv
Campania,,6.957,4.004,10.961,cruscotto_statistico_giornaliero_15-09-2024-accoglienza.csv
Toscana,,8.244,1.855,10.099,cruscotto_statistico_giornaliero_15-09-2024-accoglienza.csv
Sicilia,79,3.711,5.947,9.737,cruscotto_statistico_giornaliero_15-09-2024-accoglienza.csv
Veneto,,8.082,785,8.867,cruscotto_statistico_giornaliero_15-09-2024-accoglienza.csv
Puglia,0,3.688,3.467,7.155,cruscotto_statistico_giornaliero_15-09-2024-accoglienza.csv
Calabria,14,3.555,3.166,6.735,cruscotto_statistico_giornaliero_15-09-2024-accoglienza.csv
Liguria,,4.529,1.045,5.574,cruscotto_statistico_giornaliero_15-09-2024-accoglienza.csv
Friuli-Venezia Giulia,,3.965,226,4.191,cruscotto_statistico_giornaliero_15-09-2024-accoglienza.csv
Marche,,2.694,1.493,4.187,cruscotto_statistico_giornaliero_15-09-2024-accoglienza.csv
Abruzzo,,3.197,921,4.118,cruscotto_statistico_giornaliero_15-09-2024-accoglienza.csv
Umbria,,2.153,470,2.623,cruscotto_statistico_giornaliero_15-09-2024-accoglienza.csv
Basilicata,,1.657,849,2.506,cruscotto_statistico_giornaliero_15-09-2024-accoglienza.csv
Sardegna,,2.121,265,2.386,cruscotto_statistico_giornaliero_15-09-2024-accoglienza.csv
Molise,,769,918,1.687,cruscotto_statistico_giornaliero_15-09-2024-accoglienza.csv
Trentino-Alto Adige,,1.492,179,1.671,cruscotto_statistico_giornaliero_15-09-2024-accoglienza.csv
Valle d'Aosta,,108,37,145,cruscotto_statistico_giornaliero_15-09-2024-accoglienza.csv
