Regione,Immigrati presenti negli hot spot,Immigrati presenti nei centri di accoglienza,Immigrati presenti nei centri SAI,Totale immigrati in accoglienza sul territorio,file
Totale complessivo,423,59.946,29.528,89.897,cruscotto_statistico_giornaliero_30-06-2022-accoglienza.csv
Lombardia,,7.869,2.474,10.343,cruscotto_statistico_giornaliero_30-06-2022-accoglienza.csv
Emilia-Romagna,,6.794,2.695,9.489,cruscotto_statistico_giornaliero_30-06-2022-accoglienza.csv
Piemonte,,6.081,2.027,8.108,cruscotto_statistico_giornaliero_30-06-2022-accoglienza.csv
Lazio,,5.666,2.338,8.004,cruscotto_statistico_giornaliero_30-06-2022-accoglienza.csv
Sicilia,298,2.479,4.488,7.265,cruscotto_statistico_giornaliero_30-06-2022-accoglienza.csv
Toscana,,4.873,1.589,6.462,cruscotto_statistico_giornaliero_30-06-2022-accoglienza.csv
Veneto,,4.874,612,5.486,cruscotto_statistico_giornaliero_30-06-2022-accoglienza.csv
Campania,,2.618,2.591,5.209,cruscotto_statistico_giornaliero_30-06-2022-accoglienza.csv
Puglia,125,1.752,2.792,4.669,cruscotto_statistico_giornaliero_30-06-2022-accoglienza.csv
Liguria,,3.345,937,4.282,cruscotto_statistico_giornaliero_30-06-2022-accoglienza.csv
Calabria,,1.253,2.635,3.888,cruscotto_statistico_giornaliero_30-06-2022-accoglienza.csv
Friuli-Venezia Giulia,,3.533,288,3.821,cruscotto_statistico_giornaliero_30-06-2022-accoglienza.csv
Marche,,1.921,1.125,3.046,cruscotto_statistico_giornaliero_30-06-2022-accoglienza.csv
Abruzzo,,1.462,619,2.081,cruscotto_statistico_giornaliero_30-06-2022-accoglienza.csv
Umbria,,1.519,406,1.925,cruscotto_statistico_giornaliero_30-06-2022-accoglienza.csv
Basilicata,,1.033,698,1.731,cruscotto_statistico_giornaliero_30-06-2022-accoglienza.csv
Trentino-Alto Adige,,1.521,180,1.701,cruscotto_statistico_giornaliero_30-06-2022-accoglienza.csv
Molise,,601,767,1.368,cruscotto_statistico_giornaliero_30-06-2022-accoglienza.csv
Sardegna,,712,239,951,cruscotto_statistico_giornaliero_30-06-2022-accoglienza.csv
Valle d'Aosta,,40,28,68,cruscotto_statistico_giornaliero_30-06-2022-accoglienza.csv
