Regione,Migranti presenti negli hot spot,Migranti presenti nei centri di accoglienza,Migranti presenti nei centri SAI,Totale migranti in accoglienza sul territorio,file
Totale complessivo,709,99.201,38.454,137.655,cruscotto_statistico_giornaliero_15-06-2025-accoglienza.csv
Lombardia,,14.468,3.211,17.679,cruscotto_statistico_giornaliero_15-06-2025-accoglienza.csv
Lazio,,10.769,2.692,13.461,cruscotto_statistico_giornaliero_15-06-2025-accoglienza.csv
Emilia-Romagna,,8.757,3.691,12.448,cruscotto_statistico_giornaliero_15-06-2025-accoglienza.csv
Piemonte,,8.826,2.468,11.294,cruscotto_statistico_giornaliero_15-06-2025-accoglienza.csv
Campania,,6.797,4.046,10.843,cruscotto_statistico_giornaliero_15-06-2025-accoglienza.csv
Toscana,,8.493,1.899,10.392,cruscotto_statistico_giornaliero_15-06-2025-accoglienza.csv
Sicilia,694,3.856,6.035,9.891,cruscotto_statistico_giornaliero_15-06-2025-accoglienza.csv
Veneto,,7.537,814,8.351,cruscotto_statistico_giornaliero_15-06-2025-accoglienza.csv
Calabria,15,3.918,3.386,7.304,cruscotto_statistico_giornaliero_15-06-2025-accoglienza.csv
Puglia,0,3.193,3.655,6.848,cruscotto_statistico_giornaliero_15-06-2025-accoglienza.csv
Liguria,,4.634,1.031,5.665,cruscotto_statistico_giornaliero_15-06-2025-accoglienza.csv
Abruzzo,,3.100,928,4.028,cruscotto_statistico_giornaliero_15-06-2025-accoglienza.csv
Friuli-Venezia Giulia,,3.781,243,4.024,cruscotto_statistico_giornaliero_15-06-2025-accoglienza.csv
Marche,,2.418,1.555,3.973,cruscotto_statistico_giornaliero_15-06-2025-accoglienza.csv
Umbria,,2.337,472,2.809,cruscotto_statistico_giornaliero_15-06-2025-accoglienza.csv
Sardegna,,2.321,288,2.609,cruscotto_statistico_giornaliero_15-06-2025-accoglienza.csv
Basilicata,,1.617,880,2.497,cruscotto_statistico_giornaliero_15-06-2025-accoglienza.csv
Molise,,836,918,1.754,cruscotto_statistico_giornaliero_15-06-2025-accoglienza.csv
Trentino-Alto Adige,,1.439,205,1.644,cruscotto_statistico_giornaliero_15-06-2025-accoglienza.csv
Valle d'Aosta,,104,37,141,cruscotto_statistico_giornaliero_15-06-2025-accoglienza.csv
