Regione,Immigrati presenti negli hot spot,Immigrati presenti nei centri di accoglienza,Immigrati presenti nei centri SIPROIMI,Totale immigrati in accoglienza sul territorio,file
Totale complessivo,265,63.477,22.048,85.790,cruscotto_statistico_giornaliero_15-05-2020_0-accoglienza.csv
Lombardia,,9.880,1.965,11.845,cruscotto_statistico_giornaliero_15-05-2020_0-accoglienza.csv
Emilia-Romagna,,6.682,2.015,8.697,cruscotto_statistico_giornaliero_15-05-2020_0-accoglienza.csv
Piemonte,,6.283,1.609,7.892,cruscotto_statistico_giornaliero_15-05-2020_0-accoglienza.csv
Lazio,,5.502,2.273,7.775,cruscotto_statistico_giornaliero_15-05-2020_0-accoglienza.csv
Campania,,4.825,1.521,6.346,cruscotto_statistico_giornaliero_15-05-2020_0-accoglienza.csv
Sicilia,265,3.556,2.517,6.338,cruscotto_statistico_giornaliero_15-05-2020_0-accoglienza.csv
Toscana,,4.404,1.279,5.683,cruscotto_statistico_giornaliero_15-05-2020_0-accoglienza.csv
Veneto,,5.011,606,5.617,cruscotto_statistico_giornaliero_15-05-2020_0-accoglienza.csv
Puglia,0,2.022,2.312,4.334,cruscotto_statistico_giornaliero_15-05-2020_0-accoglienza.csv
Calabria,,2.019,1.894,3.913,cruscotto_statistico_giornaliero_15-05-2020_0-accoglienza.csv
Liguria,,2.748,681,3.429,cruscotto_statistico_giornaliero_15-05-2020_0-accoglienza.csv
Friuli-Venezia Giulia,,2.804,292,3.096,cruscotto_statistico_giornaliero_15-05-2020_0-accoglienza.csv
Marche,,1.321,853,2.174,cruscotto_statistico_giornaliero_15-05-2020_0-accoglienza.csv
Trentino-Alto Adige,,1.481,359,1.840,cruscotto_statistico_giornaliero_15-05-2020_0-accoglienza.csv
Abruzzo,,1.331,354,1.685,cruscotto_statistico_giornaliero_15-05-2020_0-accoglienza.csv
Umbria,,1.160,271,1.431,cruscotto_statistico_giornaliero_15-05-2020_0-accoglienza.csv
Basilicata,,977,402,1.379,cruscotto_statistico_giornaliero_15-05-2020_0-accoglienza.csv
Sardegna,,1.020,189,1.209,cruscotto_statistico_giornaliero_15-05-2020_0-accoglienza.csv
Molise,,357,632,989,cruscotto_statistico_giornaliero_15-05-2020_0-accoglienza.csv
Valle d'Aosta,,94,24,118,cruscotto_statistico_giornaliero_15-05-2020_0-accoglienza.csv
