Regione,Immigrati presenti negli hot spot,Immigrati presenti nei centri di accoglienza,Immigrati presenti nei centri SAI,Totale immigrati in accoglienza sul territorio,file
Totale complessivo,719,67.111,32.397,100.235,cruscotto_statistico_giornaliero_15-10-2022-accoglienza.csv
Lombardia,,8.453,2.843,11.296,cruscotto_statistico_giornaliero_15-10-2022-accoglienza.csv
Emilia-Romagna,,7.215,3.000,10.215,cruscotto_statistico_giornaliero_15-10-2022-accoglienza.csv
Sicilia,719,3.353,4.830,8.902,cruscotto_statistico_giornaliero_15-10-2022-accoglienza.csv
Lazio,,6.207,2.598,8.805,cruscotto_statistico_giornaliero_15-10-2022-accoglienza.csv
Piemonte,,6.536,2.167,8.703,cruscotto_statistico_giornaliero_15-10-2022-accoglienza.csv
Toscana,,5.206,1.674,6.880,cruscotto_statistico_giornaliero_15-10-2022-accoglienza.csv
Campania,,3.315,3.007,6.322,cruscotto_statistico_giornaliero_15-10-2022-accoglienza.csv
Veneto,,5.326,636,5.962,cruscotto_statistico_giornaliero_15-10-2022-accoglienza.csv
Puglia,0,1.713,3.104,4.825,cruscotto_statistico_giornaliero_15-10-2022-accoglienza.csv
Liguria,,3.738,982,4.720,cruscotto_statistico_giornaliero_15-10-2022-accoglienza.csv
Calabria,,1.756,2.856,4.612,cruscotto_statistico_giornaliero_15-10-2022-accoglienza.csv
Friuli-Venezia Giulia,,4.317,264,4.581,cruscotto_statistico_giornaliero_15-10-2022-accoglienza.csv
Marche,,2.140,1.188,3.328,cruscotto_statistico_giornaliero_15-10-2022-accoglienza.csv
Abruzzo,,1.753,719,2.472,cruscotto_statistico_giornaliero_15-10-2022-accoglienza.csv
Umbria,,1.582,426,2.008,cruscotto_statistico_giornaliero_15-10-2022-accoglienza.csv
Basilicata,,1.169,720,1.889,cruscotto_statistico_giornaliero_15-10-2022-accoglienza.csv
Trentino-Alto Adige,,1.552,213,1.765,cruscotto_statistico_giornaliero_15-10-2022-accoglienza.csv
Molise,,707,882,1.589,cruscotto_statistico_giornaliero_15-10-2022-accoglienza.csv
Sardegna,,974,257,1.231,cruscotto_statistico_giornaliero_15-10-2022-accoglienza.csv
Valle d'Aosta,,99,31,130,cruscotto_statistico_giornaliero_15-10-2022-accoglienza.csv
