Regione,Migranti presenti negli hot spot,Migranti presenti nei centri di accoglienza,Migranti presenti nei centri SAI,Totale migranti in accoglienza sul territorio,file
Totale complessivo,2.787,88.060,35.075,125.922,cruscotto_statistico_giornaliero_15-07-2023-accoglienza.csv
Lombardia,,12.751,3.152,15.903,cruscotto_statistico_giornaliero_15-07-2023-accoglienza.csv
Emilia-Romagna,,8.834,3.125,11.959,cruscotto_statistico_giornaliero_15-07-2023-accoglienza.csv
Sicilia,2.630,3.782,5.447,11.859,cruscotto_statistico_giornaliero_15-07-2023-accoglienza.csv
Lazio,,8.272,2.699,10.971,cruscotto_statistico_giornaliero_15-07-2023-accoglienza.csv
Piemonte,,8.451,2.333,10.784,cruscotto_statistico_giornaliero_15-07-2023-accoglienza.csv
Campania,,5.559,3.843,9.402,cruscotto_statistico_giornaliero_15-07-2023-accoglienza.csv
Toscana,,6.887,1.770,8.657,cruscotto_statistico_giornaliero_15-07-2023-accoglienza.csv
Veneto,,7.141,748,7.889,cruscotto_statistico_giornaliero_15-07-2023-accoglienza.csv
Puglia,157,2.731,3.038,5.926,cruscotto_statistico_giornaliero_15-07-2023-accoglienza.csv
Calabria,,2.791,2.948,5.739,cruscotto_statistico_giornaliero_15-07-2023-accoglienza.csv
Liguria,,4.290,1.043,5.333,cruscotto_statistico_giornaliero_15-07-2023-accoglienza.csv
Friuli-Venezia Giulia,,4.049,247,4.296,cruscotto_statistico_giornaliero_15-07-2023-accoglienza.csv
Marche,,2.608,1.312,3.920,cruscotto_statistico_giornaliero_15-07-2023-accoglienza.csv
Abruzzo,,2.573,871,3.444,cruscotto_statistico_giornaliero_15-07-2023-accoglienza.csv
Umbria,,1.830,423,2.253,cruscotto_statistico_giornaliero_15-07-2023-accoglienza.csv
Basilicata,,1.431,726,2.157,cruscotto_statistico_giornaliero_15-07-2023-accoglienza.csv
Sardegna,,1.683,267,1.950,cruscotto_statistico_giornaliero_15-07-2023-accoglienza.csv
Trentino-Alto Adige,,1.506,210,1.716,cruscotto_statistico_giornaliero_15-07-2023-accoglienza.csv
Molise,,786,839,1.625,cruscotto_statistico_giornaliero_15-07-2023-accoglienza.csv
Valle d'Aosta,,105,34,139,cruscotto_statistico_giornaliero_15-07-2023-accoglienza.csv
