Regione,Immigrati presenti negli hot spot,Immigrati presenti nei centri di accoglienza,Immigrati presenti nei centri SAI,Totale immigrati in accoglienza sul territorio,file
Totale complessivo,1.237,49.829,25.422,76.488,cruscotto_statistico_giornaliero_31-07-2021-accoglienza.csv
Lombardia,,7.425,2.123,9.548,cruscotto_statistico_giornaliero_31-07-2021-accoglienza.csv
Emilia-Romagna,,5.723,2.194,7.917,cruscotto_statistico_giornaliero_31-07-2021-accoglienza.csv
Sicilia,1.201,2.644,3.712,7.557,cruscotto_statistico_giornaliero_31-07-2021-accoglienza.csv
Lazio,,4.986,1.869,6.855,cruscotto_statistico_giornaliero_31-07-2021-accoglienza.csv
Piemonte,,4.982,1.810,6.792,cruscotto_statistico_giornaliero_31-07-2021-accoglienza.csv
Campania,,3.298,2.095,5.393,cruscotto_statistico_giornaliero_31-07-2021-accoglienza.csv
Toscana,,3.383,1.346,4.729,cruscotto_statistico_giornaliero_31-07-2021-accoglienza.csv
Puglia,36,1.630,2.672,4.338,cruscotto_statistico_giornaliero_31-07-2021-accoglienza.csv
Veneto,,3.610,578,4.188,cruscotto_statistico_giornaliero_31-07-2021-accoglienza.csv
Calabria,,1.325,2.540,3.865,cruscotto_statistico_giornaliero_31-07-2021-accoglienza.csv
Liguria,,2.398,836,3.234,cruscotto_statistico_giornaliero_31-07-2021-accoglienza.csv
Friuli-Venezia Giulia,,2.530,303,2.833,cruscotto_statistico_giornaliero_31-07-2021-accoglienza.csv
Marche,,1.314,807,2.121,cruscotto_statistico_giornaliero_31-07-2021-accoglienza.csv
Abruzzo,,1.011,520,1.531,cruscotto_statistico_giornaliero_31-07-2021-accoglienza.csv
Basilicata,,802,553,1.355,cruscotto_statistico_giornaliero_31-07-2021-accoglienza.csv
Umbria,,917,329,1.246,cruscotto_statistico_giornaliero_31-07-2021-accoglienza.csv
Trentino-Alto Adige,,960,185,1.145,cruscotto_statistico_giornaliero_31-07-2021-accoglienza.csv
Molise,,279,751,1.030,cruscotto_statistico_giornaliero_31-07-2021-accoglienza.csv
Sardegna,,568,181,749,cruscotto_statistico_giornaliero_31-07-2021-accoglienza.csv
Valle d'Aosta,,44,18,62,cruscotto_statistico_giornaliero_31-07-2021-accoglienza.csv
