Regione,Immigrati presenti negli hot spot,Immigrati presenti nei centri di accoglienza,Immigrati presenti nei centri SIPROIMI,Totale immigrati in accoglienza sul territorio,file
Totale complessivo,218,62.492,22.214,84.924,cruscotto_statistico_giornaliero_15-04-2020-accoglienza.csv
Lombardia,,9.832,1.999,11.831,cruscotto_statistico_giornaliero_15-04-2020-accoglienza.csv
Emilia-Romagna,,6.708,2.034,8.742,cruscotto_statistico_giornaliero_15-04-2020-accoglienza.csv
Piemonte,,6.323,1.723,8.046,cruscotto_statistico_giornaliero_15-04-2020-accoglienza.csv
Lazio,,5.408,2.281,7.689,cruscotto_statistico_giornaliero_15-04-2020-accoglienza.csv
Campania,,4.818,1.519,6.337,cruscotto_statistico_giornaliero_15-04-2020-accoglienza.csv
Sicilia,218,3.402,2.461,6.081,cruscotto_statistico_giornaliero_15-04-2020-accoglienza.csv
Toscana,,4.356,1.290,5.646,cruscotto_statistico_giornaliero_15-04-2020-accoglienza.csv
Veneto,,5.016,609,5.625,cruscotto_statistico_giornaliero_15-04-2020-accoglienza.csv
Puglia,0,1.894,2.231,4.125,cruscotto_statistico_giornaliero_15-04-2020-accoglienza.csv
Calabria,,2.029,1.865,3.894,cruscotto_statistico_giornaliero_15-04-2020-accoglienza.csv
Liguria,,2.777,657,3.434,cruscotto_statistico_giornaliero_15-04-2020-accoglienza.csv
Friuli-Venezia Giulia,,2.401,298,2.699,cruscotto_statistico_giornaliero_15-04-2020-accoglienza.csv
Marche,,1.302,843,2.145,cruscotto_statistico_giornaliero_15-04-2020-accoglienza.csv
Trentino-Alto Adige,,1.489,359,1.848,cruscotto_statistico_giornaliero_15-04-2020-accoglienza.csv
Abruzzo,,1.239,442,1.681,cruscotto_statistico_giornaliero_15-04-2020-accoglienza.csv
Basilicata,,944,436,1.380,cruscotto_statistico_giornaliero_15-04-2020-accoglienza.csv
Umbria,,1.071,307,1.378,cruscotto_statistico_giornaliero_15-04-2020-accoglienza.csv
Sardegna,,1.022,206,1.228,cruscotto_statistico_giornaliero_15-04-2020-accoglienza.csv
Molise,,367,631,998,cruscotto_statistico_giornaliero_15-04-2020-accoglienza.csv
Valle d'Aosta,,94,23,117,cruscotto_statistico_giornaliero_15-04-2020-accoglienza.csv
