Regione,Migranti presenti negli hot spot,Migranti presenti nei centri di accoglienza,Migranti presenti nei centri SAI,Totale migranti in accoglienza sul territorio,file
Totale complessivo,1.022,77.089,33.817,111.928,cruscotto_statistico_giornaliero_31-03-2023-accoglienza.csv
Lombardia,,10.155,2.982,13.137,cruscotto_statistico_giornaliero_31-03-2023-accoglienza.csv
Emilia-Romagna,,7.990,3.128,11.118,cruscotto_statistico_giornaliero_31-03-2023-accoglienza.csv
Piemonte,,7.814,2.189,10.003,cruscotto_statistico_giornaliero_31-03-2023-accoglienza.csv
Lazio,,7.271,2.695,9.966,cruscotto_statistico_giornaliero_31-03-2023-accoglienza.csv
Sicilia,860,3.310,5.128,9.298,cruscotto_statistico_giornaliero_31-03-2023-accoglienza.csv
Toscana,,6.172,1.719,7.891,cruscotto_statistico_giornaliero_31-03-2023-accoglienza.csv
Campania,,4.168,3.221,7.389,cruscotto_statistico_giornaliero_31-03-2023-accoglienza.csv
Veneto,,6.459,746,7.205,cruscotto_statistico_giornaliero_31-03-2023-accoglienza.csv
Calabria,,2.452,2.988,5.440,cruscotto_statistico_giornaliero_31-03-2023-accoglienza.csv
Puglia,162,1.900,3.130,5.192,cruscotto_statistico_giornaliero_31-03-2023-accoglienza.csv
Liguria,,4.158,1.026,5.184,cruscotto_statistico_giornaliero_31-03-2023-accoglienza.csv
Friuli-Venezia Giulia,,3.911,235,4.146,cruscotto_statistico_giornaliero_31-03-2023-accoglienza.csv
Marche,,1.918,1.271,3.189,cruscotto_statistico_giornaliero_31-03-2023-accoglienza.csv
Abruzzo,,2.292,848,3.140,cruscotto_statistico_giornaliero_31-03-2023-accoglienza.csv
Umbria,,1.767,420,2.187,cruscotto_statistico_giornaliero_31-03-2023-accoglienza.csv
Basilicata,,1.406,702,2.108,cruscotto_statistico_giornaliero_31-03-2023-accoglienza.csv
Trentino-Alto Adige,,1.629,207,1.836,cruscotto_statistico_giornaliero_31-03-2023-accoglienza.csv
Molise,,810,888,1.698,cruscotto_statistico_giornaliero_31-03-2023-accoglienza.csv
Sardegna,,1.400,257,1.657,cruscotto_statistico_giornaliero_31-03-2023-accoglienza.csv
Valle d'Aosta,,107,37,144,cruscotto_statistico_giornaliero_31-03-2023-accoglienza.csv
