Regione,Migranti presenti negli hot spot,Migranti presenti nei centri di accoglienza,Migranti presenti nei centri SAI,Totale migranti in accoglienza sul territorio,file
Totale complessivo,689,61.387,30.394,92.470,cruscotto_statistico_giornaliero_15-07-2022-accoglienza.csv
Lombardia,,7.929,2.705,10.634,cruscotto_statistico_giornaliero_15-07-2022-accoglienza.csv
Emilia-Romagna,,6.896,2.776,9.672,cruscotto_statistico_giornaliero_15-07-2022-accoglienza.csv
Lazio,,5.771,2.517,8.288,cruscotto_statistico_giornaliero_15-07-2022-accoglienza.csv
Piemonte,,5.941,2.025,7.966,cruscotto_statistico_giornaliero_15-07-2022-accoglienza.csv
Sicilia,409,2.803,4.579,7.791,cruscotto_statistico_giornaliero_15-07-2022-accoglienza.csv
Toscana,,4.954,1.627,6.581,cruscotto_statistico_giornaliero_15-07-2022-accoglienza.csv
Veneto,,4.990,621,5.611,cruscotto_statistico_giornaliero_15-07-2022-accoglienza.csv
Campania,,2.569,2.707,5.276,cruscotto_statistico_giornaliero_15-07-2022-accoglienza.csv
Puglia,280,1.704,2.774,4.758,cruscotto_statistico_giornaliero_15-07-2022-accoglienza.csv
Liguria,,3.485,948,4.433,cruscotto_statistico_giornaliero_15-07-2022-accoglienza.csv
Calabria,,1.451,2.757,4.208,cruscotto_statistico_giornaliero_15-07-2022-accoglienza.csv
Friuli-Venezia Giulia,,3.858,286,4.144,cruscotto_statistico_giornaliero_15-07-2022-accoglienza.csv
Marche,,1.973,1.125,3.098,cruscotto_statistico_giornaliero_15-07-2022-accoglienza.csv
Abruzzo,,1.563,635,2.198,cruscotto_statistico_giornaliero_15-07-2022-accoglienza.csv
Umbria,,1.540,402,1.942,cruscotto_statistico_giornaliero_15-07-2022-accoglienza.csv
Basilicata,,1.053,683,1.736,cruscotto_statistico_giornaliero_15-07-2022-accoglienza.csv
Trentino-Alto Adige,,1.539,164,1.703,cruscotto_statistico_giornaliero_15-07-2022-accoglienza.csv
Molise,,612,790,1.402,cruscotto_statistico_giornaliero_15-07-2022-accoglienza.csv
Sardegna,,718,245,963,cruscotto_statistico_giornaliero_15-07-2022-accoglienza.csv
Valle d'Aosta,,38,28,66,cruscotto_statistico_giornaliero_15-07-2022-accoglienza.csv
