Regione,Immigrati presenti negli hot spot,Immigrati presenti nei centri di accoglienza,Immigrati presenti nei centri SAI,Totale immigrati in accoglienza sul territorio,file
Totale complessivo,891,52.889,25.873,79.653,cruscotto_statistico_giornaliero_15-09-2021-accoglienza.csv
Lombardia,,7.754,2.327,10.081,cruscotto_statistico_giornaliero_15-09-2021-accoglienza.csv
Emilia-Romagna,,5.899,2.208,8.107,cruscotto_statistico_giornaliero_15-09-2021-accoglienza.csv
Sicilia,891,2.542,3.968,7.401,cruscotto_statistico_giornaliero_15-09-2021-accoglienza.csv
Piemonte,,5.556,1.796,7.352,cruscotto_statistico_giornaliero_15-09-2021-accoglienza.csv
Lazio,,4.998,1.912,6.910,cruscotto_statistico_giornaliero_15-09-2021-accoglienza.csv
Campania,,3.418,2.076,5.494,cruscotto_statistico_giornaliero_15-09-2021-accoglienza.csv
Toscana,,3.614,1.370,4.984,cruscotto_statistico_giornaliero_15-09-2021-accoglienza.csv
Calabria,,2.041,2.353,4.394,cruscotto_statistico_giornaliero_15-09-2021-accoglienza.csv
Puglia,0,1.725,2.662,4.387,cruscotto_statistico_giornaliero_15-09-2021-accoglienza.csv
Veneto,,3.712,578,4.290,cruscotto_statistico_giornaliero_15-09-2021-accoglienza.csv
Liguria,,2.363,832,3.195,cruscotto_statistico_giornaliero_15-09-2021-accoglienza.csv
Friuli-Venezia Giulia,,2.663,303,2.966,cruscotto_statistico_giornaliero_15-09-2021-accoglienza.csv
Marche,,1.439,908,2.347,cruscotto_statistico_giornaliero_15-09-2021-accoglienza.csv
Abruzzo,,1.065,527,1.592,cruscotto_statistico_giornaliero_15-09-2021-accoglienza.csv
Basilicata,,981,574,1.555,cruscotto_statistico_giornaliero_15-09-2021-accoglienza.csv
Umbria,,1.027,332,1.359,cruscotto_statistico_giornaliero_15-09-2021-accoglienza.csv
Molise,,384,749,1.133,cruscotto_statistico_giornaliero_15-09-2021-accoglienza.csv
Trentino-Alto Adige,,940,186,1.126,cruscotto_statistico_giornaliero_15-09-2021-accoglienza.csv
Sardegna,,726,192,918,cruscotto_statistico_giornaliero_15-09-2021-accoglienza.csv
Valle d'Aosta,,42,20,62,cruscotto_statistico_giornaliero_15-09-2021-accoglienza.csv
