Regione,Migranti presenti negli hot spot,Migranti presenti nei centri di accoglienza,Migranti presenti nei centri SAI,Totale migranti in accoglienza sul territorio,file
Totale complessivo,544,58.345,28.773,87.662,cruscotto_statistico_giornaliero_31-05-2022-accoglienza.csv
Lombardia,,7.807,2.416,10.223,cruscotto_statistico_giornaliero_31-05-2022-accoglienza.csv
Emilia-Romagna,,6.808,2.540,9.348,cruscotto_statistico_giornaliero_31-05-2022-accoglienza.csv
Piemonte,,5.940,1.968,7.908,cruscotto_statistico_giornaliero_31-05-2022-accoglienza.csv
Lazio,,5.475,2.308,7.783,cruscotto_statistico_giornaliero_31-05-2022-accoglienza.csv
Sicilia,532,2.807,4.318,7.657,cruscotto_statistico_giornaliero_31-05-2022-accoglienza.csv
Toscana,,4.554,1.602,6.156,cruscotto_statistico_giornaliero_31-05-2022-accoglienza.csv
Veneto,,4.791,605,5.396,cruscotto_statistico_giornaliero_31-05-2022-accoglienza.csv
Campania,,2.623,2.568,5.191,cruscotto_statistico_giornaliero_31-05-2022-accoglienza.csv
Puglia,12,1.672,2.727,4.411,cruscotto_statistico_giornaliero_31-05-2022-accoglienza.csv
Liguria,,3.156,909,4.065,cruscotto_statistico_giornaliero_31-05-2022-accoglienza.csv
Calabria,,1.258,2.640,3.898,cruscotto_statistico_giornaliero_31-05-2022-accoglienza.csv
Friuli-Venezia Giulia,,3.095,295,3.390,cruscotto_statistico_giornaliero_31-05-2022-accoglienza.csv
Marche,,1.820,1.084,2.904,cruscotto_statistico_giornaliero_31-05-2022-accoglienza.csv
Abruzzo,,1.469,594,2.063,cruscotto_statistico_giornaliero_31-05-2022-accoglienza.csv
Umbria,,1.547,368,1.915,cruscotto_statistico_giornaliero_31-05-2022-accoglienza.csv
Trentino-Alto Adige,,1.425,186,1.611,cruscotto_statistico_giornaliero_31-05-2022-accoglienza.csv
Basilicata,,932,632,1.564,cruscotto_statistico_giornaliero_31-05-2022-accoglienza.csv
Molise,,425,755,1.180,cruscotto_statistico_giornaliero_31-05-2022-accoglienza.csv
Sardegna,,703,230,933,cruscotto_statistico_giornaliero_31-05-2022-accoglienza.csv
Valle d'Aosta,,38,28,66,cruscotto_statistico_giornaliero_31-05-2022-accoglienza.csv
