Regione,Immigrati presenti negli hot spot,Immigrati presenti nei centri di accoglienza,Immigrati presenti nei centri SAI,Totale immigrati in accoglienza sul territorio,file
Totale complessivo,638,49.759,25.589,75.986,cruscotto_statistico_giornaliero_15-05-2021-accoglienza.csv
Lombardia,,7.742,2.127,9.869,cruscotto_statistico_giornaliero_15-05-2021-accoglienza.csv
Emilia-Romagna,,5.659,2.192,7.851,cruscotto_statistico_giornaliero_15-05-2021-accoglienza.csv
Lazio,,5.078,1.892,6.970,cruscotto_statistico_giornaliero_15-05-2021-accoglienza.csv
Piemonte,,4.939,1.914,6.853,cruscotto_statistico_giornaliero_15-05-2021-accoglienza.csv
Sicilia,346,2.614,3.769,6.729,cruscotto_statistico_giornaliero_15-05-2021-accoglienza.csv
Campania,,3.300,2.042,5.342,cruscotto_statistico_giornaliero_15-05-2021-accoglienza.csv
Toscana,,3.346,1.374,4.720,cruscotto_statistico_giornaliero_15-05-2021-accoglienza.csv
Puglia,292,1.539,2.726,4.557,cruscotto_statistico_giornaliero_15-05-2021-accoglienza.csv
Veneto,,3.626,585,4.211,cruscotto_statistico_giornaliero_15-05-2021-accoglienza.csv
Calabria,,1.625,2.364,3.989,cruscotto_statistico_giornaliero_15-05-2021-accoglienza.csv
Liguria,,2.364,842,3.206,cruscotto_statistico_giornaliero_15-05-2021-accoglienza.csv
Friuli-Venezia Giulia,,2.475,303,2.778,cruscotto_statistico_giornaliero_15-05-2021-accoglienza.csv
Marche,,1.130,848,1.978,cruscotto_statistico_giornaliero_15-05-2021-accoglienza.csv
Abruzzo,,871,556,1.427,cruscotto_statistico_giornaliero_15-05-2021-accoglienza.csv
Basilicata,,718,563,1.281,cruscotto_statistico_giornaliero_15-05-2021-accoglienza.csv
Trentino-Alto Adige,,1.014,187,1.201,cruscotto_statistico_giornaliero_15-05-2021-accoglienza.csv
Umbria,,850,351,1.201,cruscotto_statistico_giornaliero_15-05-2021-accoglienza.csv
Sardegna,,701,203,904,cruscotto_statistico_giornaliero_15-05-2021-accoglienza.csv
Molise,,131,729,860,cruscotto_statistico_giornaliero_15-05-2021-accoglienza.csv
Valle d'Aosta,,37,22,59,cruscotto_statistico_giornaliero_15-05-2021-accoglienza.csv
