Regione,Migranti presenti negli hot spot,Migranti presenti nei centri di accoglienza,Migranti presenti nei centri SIPROIMI,Totale migranti in accoglienza sul territorio,file
Totale complessivo,78,66.958,24.388,91.424,cruscotto_statistico_giornaliero_31-12-2019-accoglienza.csv
Lombardia,,10.576,2.104,12.680,cruscotto_statistico_giornaliero_31-12-2019-accoglienza.csv
Emilia-Romagna,,7.066,2.340,9.406,cruscotto_statistico_giornaliero_31-12-2019-accoglienza.csv
Lazio,,5.766,2.749,8.515,cruscotto_statistico_giornaliero_31-12-2019-accoglienza.csv
Piemonte,,6.716,1.686,8.402,cruscotto_statistico_giornaliero_31-12-2019-accoglienza.csv
Campania,,5.340,1.777,7.117,cruscotto_statistico_giornaliero_31-12-2019-accoglienza.csv
Sicilia,78,3.316,2.913,6.307,cruscotto_statistico_giornaliero_31-12-2019-accoglienza.csv
Toscana,,4.840,1.301,6.141,cruscotto_statistico_giornaliero_31-12-2019-accoglienza.csv
Veneto,,5.400,671,6.071,cruscotto_statistico_giornaliero_31-12-2019-accoglienza.csv
Puglia,0,2.181,2.342,4.523,cruscotto_statistico_giornaliero_31-12-2019-accoglienza.csv
Calabria,,2.092,1.963,4.055,cruscotto_statistico_giornaliero_31-12-2019-accoglienza.csv
Liguria,,2.998,695,3.693,cruscotto_statistico_giornaliero_31-12-2019-accoglienza.csv
Friuli-Venezia Giulia,,2.373,355,2.728,cruscotto_statistico_giornaliero_31-12-2019-accoglienza.csv
Marche,,1.522,942,2.464,cruscotto_statistico_giornaliero_31-12-2019-accoglienza.csv
Trentino-Alto Adige,,1.687,370,2.057,cruscotto_statistico_giornaliero_31-12-2019-accoglienza.csv
Abruzzo,,1.193,457,1.650,cruscotto_statistico_giornaliero_31-12-2019-accoglienza.csv
Basilicata,,986,507,1.493,cruscotto_statistico_giornaliero_31-12-2019-accoglienza.csv
Umbria,,1.166,322,1.488,cruscotto_statistico_giornaliero_31-12-2019-accoglienza.csv
Sardegna,,1.194,233,1.427,cruscotto_statistico_giornaliero_31-12-2019-accoglienza.csv
Molise,,426,637,1.063,cruscotto_statistico_giornaliero_31-12-2019-accoglienza.csv
Valle d'Aosta,,120,24,144,cruscotto_statistico_giornaliero_31-12-2019-accoglienza.csv
