Regione,Migranti presenti negli hot spot,Migranti presenti nei centri di accoglienza,Migranti presenti nei centri SAI,Totale migranti in accoglienza sul territorio,file
Totale complessivo,129,50.769,25.407,76.305,cruscotto_statistico_giornaliero_15-04-2021-accoglienza.csv
Lombardia,,7.889,2.100,9.989,cruscotto_statistico_giornaliero_15-04-2021-accoglienza.csv
Emilia-Romagna,,5.819,2.198,8.017,cruscotto_statistico_giornaliero_15-04-2021-accoglienza.csv
Lazio,,5.131,1.864,6.995,cruscotto_statistico_giornaliero_15-04-2021-accoglienza.csv
Piemonte,,4.998,1.868,6.866,cruscotto_statistico_giornaliero_15-04-2021-accoglienza.csv
Sicilia,129,2.284,3.826,6.239,cruscotto_statistico_giornaliero_15-04-2021-accoglienza.csv
Campania,,3.509,2.050,5.559,cruscotto_statistico_giornaliero_15-04-2021-accoglienza.csv
Toscana,,3.497,1.367,4.864,cruscotto_statistico_giornaliero_15-04-2021-accoglienza.csv
Veneto,,3.754,584,4.338,cruscotto_statistico_giornaliero_15-04-2021-accoglienza.csv
Puglia,0,1.671,2.635,4.306,cruscotto_statistico_giornaliero_15-04-2021-accoglienza.csv
Calabria,,1.764,2.411,4.175,cruscotto_statistico_giornaliero_15-04-2021-accoglienza.csv
Liguria,,2.358,820,3.178,cruscotto_statistico_giornaliero_15-04-2021-accoglienza.csv
Friuli-Venezia Giulia,,2.397,300,2.697,cruscotto_statistico_giornaliero_15-04-2021-accoglienza.csv
Marche,,1.143,815,1.958,cruscotto_statistico_giornaliero_15-04-2021-accoglienza.csv
Abruzzo,,988,536,1.524,cruscotto_statistico_giornaliero_15-04-2021-accoglienza.csv
Basilicata,,745,554,1.299,cruscotto_statistico_giornaliero_15-04-2021-accoglienza.csv
Umbria,,922,335,1.257,cruscotto_statistico_giornaliero_15-04-2021-accoglienza.csv
Trentino-Alto Adige,,1.041,187,1.228,cruscotto_statistico_giornaliero_15-04-2021-accoglienza.csv
Sardegna,,689,213,902,cruscotto_statistico_giornaliero_15-04-2021-accoglienza.csv
Molise,,132,724,856,cruscotto_statistico_giornaliero_15-04-2021-accoglienza.csv
Valle d'Aosta,,38,20,58,cruscotto_statistico_giornaliero_15-04-2021-accoglienza.csv
