Regione,Immigrati presenti negli hot spot,Immigrati presenti nei centri di accoglienza,Immigrati presenti nei centri SAI,Totale immigrati in accoglienza sul territorio,file
Totale complessivo,1.213,99.559,36.813,137.585,cruscotto_statistico_giornaliero_15-07-2024-accoglienza.csv
Lombardia,,14.831,3.106,17.937,cruscotto_statistico_giornaliero_15-07-2024-accoglienza.csv
Emilia-Romagna,,9.498,3.523,13.021,cruscotto_statistico_giornaliero_15-07-2024-accoglienza.csv
Lazio,,10.108,2.468,12.576,cruscotto_statistico_giornaliero_15-07-2024-accoglienza.csv
Piemonte,,9.345,2.287,11.632,cruscotto_statistico_giornaliero_15-07-2024-accoglienza.csv
Campania,,6.765,4.004,10.769,cruscotto_statistico_giornaliero_15-07-2024-accoglienza.csv
Sicilia,959,3.470,5.887,10.316,cruscotto_statistico_giornaliero_15-07-2024-accoglienza.csv
Toscana,,8.042,1.829,9.871,cruscotto_statistico_giornaliero_15-07-2024-accoglienza.csv
Veneto,,8.079,784,8.863,cruscotto_statistico_giornaliero_15-07-2024-accoglienza.csv
Puglia,0,3.470,3.435,6.905,cruscotto_statistico_giornaliero_15-07-2024-accoglienza.csv
Calabria,254,3.230,3.117,6.601,cruscotto_statistico_giornaliero_15-07-2024-accoglienza.csv
Liguria,,4.556,1.053,5.609,cruscotto_statistico_giornaliero_15-07-2024-accoglienza.csv
Marche,,2.741,1.482,4.223,cruscotto_statistico_giornaliero_15-07-2024-accoglienza.csv
Abruzzo,,3.200,920,4.120,cruscotto_statistico_giornaliero_15-07-2024-accoglienza.csv
Friuli-Venezia Giulia,,3.831,221,4.052,cruscotto_statistico_giornaliero_15-07-2024-accoglienza.csv
Umbria,,2.120,469,2.589,cruscotto_statistico_giornaliero_15-07-2024-accoglienza.csv
Basilicata,,1.663,855,2.518,cruscotto_statistico_giornaliero_15-07-2024-accoglienza.csv
Sardegna,,2.182,258,2.440,cruscotto_statistico_giornaliero_15-07-2024-accoglienza.csv
Trentino-Alto Adige,,1.537,171,1.708,cruscotto_statistico_giornaliero_15-07-2024-accoglienza.csv
Molise,,781,909,1.690,cruscotto_statistico_giornaliero_15-07-2024-accoglienza.csv
Valle d'Aosta,,110,35,145,cruscotto_statistico_giornaliero_15-07-2024-accoglienza.csv
