Regione,Immigrati presenti negli hot spot,Immigrati presenti nei centri di accoglienza,Immigrati presenti nei centri SAI,Totale immigrati in accoglienza sul territorio,file
Totale complessivo,101,52.185,25.715,78.001,cruscotto_statistico_giornaliero_15-12-2021-accoglienza.csv
Lombardia,,8.065,2.049,10.114,cruscotto_statistico_giornaliero_15-12-2021-accoglienza.csv
Emilia-Romagna,,5.687,2.263,7.950,cruscotto_statistico_giornaliero_15-12-2021-accoglienza.csv
Piemonte,,5.413,1.811,7.224,cruscotto_statistico_giornaliero_15-12-2021-accoglienza.csv
Lazio,,4.938,2.002,6.940,cruscotto_statistico_giornaliero_15-12-2021-accoglienza.csv
Sicilia,51,2.272,3.874,6.197,cruscotto_statistico_giornaliero_15-12-2021-accoglienza.csv
Campania,,3.202,2.240,5.442,cruscotto_statistico_giornaliero_15-12-2021-accoglienza.csv
Toscana,,3.733,1.381,5.114,cruscotto_statistico_giornaliero_15-12-2021-accoglienza.csv
Veneto,,3.695,557,4.252,cruscotto_statistico_giornaliero_15-12-2021-accoglienza.csv
Puglia,50,1.616,2.567,4.233,cruscotto_statistico_giornaliero_15-12-2021-accoglienza.csv
Calabria,,1.325,2.313,3.638,cruscotto_statistico_giornaliero_15-12-2021-accoglienza.csv
Liguria,,2.487,839,3.326,cruscotto_statistico_giornaliero_15-12-2021-accoglienza.csv
Friuli-Venezia Giulia,,2.679,287,2.966,cruscotto_statistico_giornaliero_15-12-2021-accoglienza.csv
Marche,,1.630,914,2.544,cruscotto_statistico_giornaliero_15-12-2021-accoglienza.csv
Abruzzo,,1.231,569,1.800,cruscotto_statistico_giornaliero_15-12-2021-accoglienza.csv
Basilicata,,995,583,1.578,cruscotto_statistico_giornaliero_15-12-2021-accoglienza.csv
Umbria,,1.196,346,1.542,cruscotto_statistico_giornaliero_15-12-2021-accoglienza.csv
Trentino-Alto Adige,,924,182,1.106,cruscotto_statistico_giornaliero_15-12-2021-accoglienza.csv
Molise,,390,688,1.078,cruscotto_statistico_giornaliero_15-12-2021-accoglienza.csv
Sardegna,,674,225,899,cruscotto_statistico_giornaliero_15-12-2021-accoglienza.csv
Valle d'Aosta,,33,25,58,cruscotto_statistico_giornaliero_15-12-2021-accoglienza.csv
