Regione,Immigrati presenti negli hot spot,Immigrati presenti nei centri di accoglienza,Immigrati presenti nei centri SAI,Totale immigrati in accoglienza sul territorio,file
Totale complessivo,1.947,71.882,33.439,107.268,cruscotto_statistico_giornaliero_31-12-2022-rev-accoglienza.csv
Lombardia,,9.223,3.056,12.279,cruscotto_statistico_giornaliero_31-12-2022-rev-accoglienza.csv
Emilia-Romagna,,7.463,3.040,10.503,cruscotto_statistico_giornaliero_31-12-2022-rev-accoglienza.csv
Sicilia,1.806,3.538,4.991,10.335,cruscotto_statistico_giornaliero_31-12-2022-rev-accoglienza.csv
Lazio,,6.599,2.737,9.336,cruscotto_statistico_giornaliero_31-12-2022-rev-accoglienza.csv
Piemonte,,7.062,2.260,9.322,cruscotto_statistico_giornaliero_31-12-2022-rev-accoglienza.csv
Toscana,,5.378,1.737,7.115,cruscotto_statistico_giornaliero_31-12-2022-rev-accoglienza.csv
Campania,,3.767,3.128,6.895,cruscotto_statistico_giornaliero_31-12-2022-rev-accoglienza.csv
Veneto,,5.789,729,6.518,cruscotto_statistico_giornaliero_31-12-2022-rev-accoglienza.csv
Calabria,,2.159,2.906,5.065,cruscotto_statistico_giornaliero_31-12-2022-rev-accoglienza.csv
Puglia,141,1.853,3.014,5.008,cruscotto_statistico_giornaliero_31-12-2022-rev-accoglienza.csv
Liguria,,3.911,1.019,4.930,cruscotto_statistico_giornaliero_31-12-2022-rev-accoglienza.csv
Friuli-Venezia Giulia,,4.211,253,4.464,cruscotto_statistico_giornaliero_31-12-2022-rev-accoglienza.csv
Marche,,2.322,1.212,3.534,cruscotto_statistico_giornaliero_31-12-2022-rev-accoglienza.csv
Abruzzo,,1.902,822,2.724,cruscotto_statistico_giornaliero_31-12-2022-rev-accoglienza.csv
Umbria,,1.684,436,2.120,cruscotto_statistico_giornaliero_31-12-2022-rev-accoglienza.csv
Basilicata,,1.362,734,2.096,cruscotto_statistico_giornaliero_31-12-2022-rev-accoglienza.csv
Trentino-Alto Adige,,1.558,205,1.763,cruscotto_statistico_giornaliero_31-12-2022-rev-accoglienza.csv
Molise,,721,870,1.591,cruscotto_statistico_giornaliero_31-12-2022-rev-accoglienza.csv
Sardegna,,1.280,259,1.539,cruscotto_statistico_giornaliero_31-12-2022-rev-accoglienza.csv
Valle d'Aosta,,100,31,131,cruscotto_statistico_giornaliero_31-12-2022-rev-accoglienza.csv
