Regione,Migranti presenti negli hot spot,Migranti presenti nei centri di accoglienza,Migranti presenti nei centri SAI,Totale migranti in accoglienza sul territorio,file
Totale complessivo,530,105.639,34.689,140.858,cruscotto_statistico_giornaliero_30-11-2023-accoglienza.csv
Lombardia,,15.046,3.023,18.069,cruscotto_statistico_giornaliero_30-11-2023-accoglienza.csv
Emilia-Romagna,,9.736,3.307,13.043,cruscotto_statistico_giornaliero_30-11-2023-accoglienza.csv
Piemonte,,10.286,2.334,12.620,cruscotto_statistico_giornaliero_30-11-2023-accoglienza.csv
Lazio,,9.791,2.477,12.268,cruscotto_statistico_giornaliero_30-11-2023-accoglienza.csv
Campania,,7.229,3.887,11.116,cruscotto_statistico_giornaliero_30-11-2023-accoglienza.csv
Toscana,,8.353,1.807,10.160,cruscotto_statistico_giornaliero_30-11-2023-accoglienza.csv
Sicilia,347,4.072,5.231,9.650,cruscotto_statistico_giornaliero_30-11-2023-accoglienza.csv
Veneto,,8.673,776,9.449,cruscotto_statistico_giornaliero_30-11-2023-accoglienza.csv
Puglia,183,4.164,3.035,7.382,cruscotto_statistico_giornaliero_30-11-2023-accoglienza.csv
Calabria,,3.435,2.887,6.322,cruscotto_statistico_giornaliero_30-11-2023-accoglienza.csv
Liguria,,4.895,1.033,5.928,cruscotto_statistico_giornaliero_30-11-2023-accoglienza.csv
Friuli-Venezia Giulia,,4.277,233,4.510,cruscotto_statistico_giornaliero_30-11-2023-accoglienza.csv
Marche,,3.095,1.298,4.393,cruscotto_statistico_giornaliero_30-11-2023-accoglienza.csv
Abruzzo,,3.398,896,4.294,cruscotto_statistico_giornaliero_30-11-2023-accoglienza.csv
Umbria,,2.314,422,2.736,cruscotto_statistico_giornaliero_30-11-2023-accoglienza.csv
Sardegna,,2.434,283,2.717,cruscotto_statistico_giornaliero_30-11-2023-accoglienza.csv
Basilicata,,1.885,692,2.577,cruscotto_statistico_giornaliero_30-11-2023-accoglienza.csv
Molise,,1.028,842,1.870,cruscotto_statistico_giornaliero_30-11-2023-accoglienza.csv
Trentino-Alto Adige,,1.423,189,1.612,cruscotto_statistico_giornaliero_30-11-2023-accoglienza.csv
Valle d'Aosta,,105,37,142,cruscotto_statistico_giornaliero_30-11-2023-accoglienza.csv
