Regione,Immigrati presenti negli hot spot,Immigrati presenti nei centri di accoglienza,Immigrati presenti nei centri SAI,Totale immigrati in accoglienza sul territorio,file
Totale complessivo,83,100.570,36.642,137.295,cruscotto_statistico_giornaliero_15-06-2024-accoglienza.csv
Lombardia,,14.793,3.102,17.895,cruscotto_statistico_giornaliero_15-06-2024-accoglienza.csv
Emilia-Romagna,,9.588,3.484,13.072,cruscotto_statistico_giornaliero_15-06-2024-accoglienza.csv
Lazio,,10.140,2.486,12.626,cruscotto_statistico_giornaliero_15-06-2024-accoglienza.csv
Piemonte,,9.398,2.311,11.709,cruscotto_statistico_giornaliero_15-06-2024-accoglienza.csv
Campania,,6.857,4.016,10.873,cruscotto_statistico_giornaliero_15-06-2024-accoglienza.csv
Toscana,,8.200,1.818,10.018,cruscotto_statistico_giornaliero_15-06-2024-accoglienza.csv
Sicilia,83,3.462,5.930,9.475,cruscotto_statistico_giornaliero_15-06-2024-accoglienza.csv
Veneto,,8.247,780,9.027,cruscotto_statistico_giornaliero_15-06-2024-accoglienza.csv
Puglia,0,3.497,3.345,6.842,cruscotto_statistico_giornaliero_15-06-2024-accoglienza.csv
Calabria,0,3.234,3.050,6.284,cruscotto_statistico_giornaliero_15-06-2024-accoglienza.csv
Liguria,,4.741,1.049,5.790,cruscotto_statistico_giornaliero_15-06-2024-accoglienza.csv
Marche,,2.784,1.446,4.230,cruscotto_statistico_giornaliero_15-06-2024-accoglienza.csv
Abruzzo,,3.246,911,4.157,cruscotto_statistico_giornaliero_15-06-2024-accoglienza.csv
Friuli-Venezia Giulia,,3.826,213,4.039,cruscotto_statistico_giornaliero_15-06-2024-accoglienza.csv
Umbria,,2.155,466,2.621,cruscotto_statistico_giornaliero_15-06-2024-accoglienza.csv
Basilicata,,1.719,862,2.581,cruscotto_statistico_giornaliero_15-06-2024-accoglienza.csv
Sardegna,,2.244,258,2.502,cruscotto_statistico_giornaliero_15-06-2024-accoglienza.csv
Trentino-Alto Adige,,1.552,185,1.737,cruscotto_statistico_giornaliero_15-06-2024-accoglienza.csv
Molise,,785,895,1.680,cruscotto_statistico_giornaliero_15-06-2024-accoglienza.csv
Valle d'Aosta,,102,35,137,cruscotto_statistico_giornaliero_15-06-2024-accoglienza.csv
