Regione,Migranti presenti negli hot spot,Migranti presenti nei centri di accoglienza,Migranti presenti nei centri SAI,Totale migranti in accoglienza sul territorio,file
Totale complessivo,257,51.661,25.938,77.856,cruscotto_statistico_giornaliero_15-01-2022-accoglienza.csv
Lombardia,,7.801,2.014,9.815,cruscotto_statistico_giornaliero_15-01-2022-accoglienza.csv
Emilia-Romagna,,5.585,2.133,7.718,cruscotto_statistico_giornaliero_15-01-2022-accoglienza.csv
Piemonte,,5.376,1.841,7.217,cruscotto_statistico_giornaliero_15-01-2022-accoglienza.csv
Lazio,,4.819,2.083,6.902,cruscotto_statistico_giornaliero_15-01-2022-accoglienza.csv
Sicilia,90,2.487,3.963,6.540,cruscotto_statistico_giornaliero_15-01-2022-accoglienza.csv
Campania,,3.100,2.227,5.327,cruscotto_statistico_giornaliero_15-01-2022-accoglienza.csv
Toscana,,3.707,1.371,5.078,cruscotto_statistico_giornaliero_15-01-2022-accoglienza.csv
Puglia,167,1.554,2.612,4.333,cruscotto_statistico_giornaliero_15-01-2022-accoglienza.csv
Veneto,,3.683,564,4.247,cruscotto_statistico_giornaliero_15-01-2022-accoglienza.csv
Calabria,,1.474,2.397,3.871,cruscotto_statistico_giornaliero_15-01-2022-accoglienza.csv
Liguria,,2.514,837,3.351,cruscotto_statistico_giornaliero_15-01-2022-accoglienza.csv
Friuli-Venezia Giulia,,2.584,291,2.875,cruscotto_statistico_giornaliero_15-01-2022-accoglienza.csv
Marche,,1.578,914,2.492,cruscotto_statistico_giornaliero_15-01-2022-accoglienza.csv
Abruzzo,,1.240,579,1.819,cruscotto_statistico_giornaliero_15-01-2022-accoglienza.csv
Basilicata,,956,628,1.584,cruscotto_statistico_giornaliero_15-01-2022-accoglienza.csv
Umbria,,1.152,348,1.500,cruscotto_statistico_giornaliero_15-01-2022-accoglienza.csv
Trentino-Alto Adige,,921,176,1.097,cruscotto_statistico_giornaliero_15-01-2022-accoglienza.csv
Molise,,362,719,1.081,cruscotto_statistico_giornaliero_15-01-2022-accoglienza.csv
Sardegna,,735,216,951,cruscotto_statistico_giornaliero_15-01-2022-accoglienza.csv
Valle d'Aosta,,33,25,58,cruscotto_statistico_giornaliero_15-01-2022-accoglienza.csv
