stato,inizio,fine,sindacati,settore,categoria,modalita,rilevanza,note,data_proclamazione,regione,provincia,data_ricezione,inizio_iso,fine_iso
Effettuato,17/12/2022,17/12/2022,OSP FILT-CGIL/FIT-CISL/UILT-UIL,Marittimo,PERSONALE MARITTIMO DELLA SOC. SDT (SINTERMAR DARSENA TOSCANA) DI LIVORNO,2 ORE PER TURNO,Locale,SCIOPERO DELLO STRAORDINARIO DALL'8/12,07/12/2022,Toscana,Livorno,07/12/2022 18:32,2022-12-17,2022-12-17
Effettuato,16/12/2022,16/12/2022,"FINO A 24 ORE: TPL 4 ORE VARIE MODALITA' - FERROVIARIO 8 ORE: DALLE 09.01 ALLE 17.00; MARITTIMO ISOLE MAGG. MEZZ'ORA PRIMA DELLE PARTENZE, NAVI TRAGHETTO 4 ORE; ANAS PRIME 4 ORE",Generale,SCIOPERO GENERALE SETTORI PUBBLICI E PRIVATI REGIONE LIGURIA,OSR CGIL/UIL,Regionale,null,02/12/2022,Liguria,Tutte,02/12/2022 17:24,2022-12-16,2022-12-16
Effettuato,16/12/2022,16/12/2022,OSP CGIL-AGB,Generale,SCIOPERO GENERALE SETTORI PUBBLICI E PRIVATI DELLA PROVINCIA DI BOLZANO,"INTERA GIORNATA: FERROVIARIO 8 ORE: DALLE 09.01 ALLE 16.59 - TPL: 4 ORE VARIE MODALITA' - TRASPORTO MERCI E LOGISTICA, TAXI, FUNIVIARIO: 24 ORE - AUTOSTRADE E TRAFORI: ULTIME 4 ORE TURNO",Provinciale,null,02/12/2022,Trentino-Alto Adige,Bolzano,02/12/2022 15:02,2022-12-16,2022-12-16
Effettuato,16/12/2022,16/12/2022,OSP FILT-CGIL/FIT-CISL/UILT-UIL/FAISA-CISAL,Trasporto pubblico locale,PERSONALE SOC. ARRIVA UDINE DI UDINE,4 ORE: DALLE 17.00 ALLE 21.00,Territoriale,null,01/12/2022,Friuli-Venezia Giulia,Udine,01/12/2022 13:18,2022-12-16,2022-12-16
Effettuato,16/12/2022,16/12/2022,OSR CGIL,Generale,SCIOPERO GENERALE SETTORI PUBBLICI E PRIVATI DELLA REGIONE FRIULI VENEZIA GIULIA,"FINO A 24 ORE: MARITTIMO: DALLE 08.00 ALLE 12.00 - APPALTI FERROVIARI, PORTI: ULTIME 4 ORE TURNO",Regionale,"ESCLUSO PERSONALE SETTORE TRASPORTO AEREO E SOCC. TRENITALIA, MERCITALIA RAIL, RFI, NTV-ITALO, FERROVIE UDINE CIVIDALE",02/12/2022,Friuli-Venezia Giulia,Tutte,02/12/2022 12:44,2022-12-16,2022-12-16
Effettuato,16/12/2022,16/12/2022,OSR CGIL,Generale,SCIOPERO GENERALE SETTORI PUBBLICI E PRIVATI  DELLA REGIONE CAMPANIA,INTERA GIORNATA; AZIENDE IMPRESE FERROVIARIE ED APPALTI ULTIME 4 ORE PER TURNO;TRASP. MERCI E LOGISTICA 4 ORE PER TURNO; TPL 4 ORE,Regionale,null,02/12/2022,Campania,Tutte,02/12/2022 15:39,2022-12-16,2022-12-16
Effettuato,16/12/2022,16/12/2022,OSR CGIL,Generale,SCIOPERO GENERALE SETTORI PUBBLICI E PRIVATI REGIONE MOLISE,"INTERA GIORNATA - TPL 4 ORE: 19.30-23.30; TAXI 24 ORE; MERCI E LOGISTICA 24 ORE; CIRC. E SICUREZZA STRADALE ULTME 4 ORE TURNO; ESCLUSI SETTORI FERROVIARIO, APPALTI FERROVIARI E TRASP. MERCI SU ROTAIA",Regionale,null,05/12/2022,Molise,Tutte,05/12/2022 12:55,2022-12-16,2022-12-16
Effettuato,16/12/2022,16/12/2022,OSR CGIL,Generale,SCIOPERO GENERALE SETTORI PUBBLICI E PRIVATI REGIONE SARDEGNA,INTERA GIORNATA; AEREO - SOGAER 4 ORE: 10-14,Regionale,ESCLUSIONE DELLA SOC. EASYJET,05/12/2022,Sardegna,Tutte,05/12/2022 18:47,2022-12-16,2022-12-16
Effettuato,16/12/2022,16/12/2022,OSR CGIL/UIL,Generale,SCIOPERO GENERALE SETTORI PUBBLICI E PRIVATI REGIONE EMILIA ROMAGNA,24 ORE; TPL 4 ORE VARIE MODALITA'; SETTORE FERROVIARIO 8 ORE: 9.01-16.59-APPALTI FS E ATTIVITA DI SUPPORTO SECONDA META' DEL TURNO; AUTOSTRADE PER L'ITALIA- D3 BOLOGNA ULTIME 4 ORE PER TURNO,Regionale,ESCLUSO SETTORE TRASPORTO AEREO,02/12/2022,Emilia-Romagna,Tutte,02/12/2022 15:10,2022-12-16,2022-12-16
Effettuato,16/12/2022,16/12/2022,OSR CGIL/UIL,Generale,SCIOPERO GENERALE SETTORI PUBBLICI E PRIVATI REGIONE TOSCANA,FINO A 24 ORE: TPL 4 ORE VARIE MODALITA' - TRASPORTO MERCI E LOGISTICA E CIRCOLAZIONE E SICUREZZA STRADALE: 8 ORE; APPALTI FERROVIARI 24 ORE; MARITTIMO 0-24 TRAGHETTI MERCI E DA CARICO RITARDI DI 24 ORE,Regionale,ESCLUSO SETTORE TRASPORTO AEREO,02/12/2022,Toscana,Tutte,02/12/2022 17:55,2022-12-16,2022-12-16
