stato,inizio,fine,sindacati,settore,categoria,modalita,rilevanza,note,data_proclamazione,regione,provincia,data_ricezione,inizio_iso,fine_iso
"Revocato (include le azioni di revoca, sospensione e differimento)",15/12/2025,16/12/2025,FEDERMAR-CISAL/UGL MARE/USB,Marittimo,PERSONALE IMPRESE SETTORE MARITTIMO E PORTUALE ASSOCIATE AD ASSARMATORI E CONFITARMA,24 ORE: DALLE 17.00 DEL 15/12 ALLE 16.59 DEL 16/12,Nazionale,null,19/09/2025,Italia,Tutte,19/09/2025 13:34,2025-12-15,2025-12-16
In Programma,01/12/2025,01/12/2025,OSP UGL-TA,Aereo,PERSONALE SOC. ASC HANDLING AEROPORTO DI CATANIA FONTANAROSSA,4 ORE: DALLE 10.30 ALLE 14.30,Interregionale,null,29/09/2025,Italia,Tutte,29/09/2025 18:34,2025-12-01,2025-12-01
In Programma,15/11/2025,15/11/2025,CONFIAL-TRASPORTI,Trasporto pubblico locale,PERSONALE SOC. AUTOGUIDOVIE REGIONE LOMBARDIA CON INTERESSAMENTO DELL'AREA DI BOLOGNA,4 ORE: DALLE 18.00 ALLE 22.00,Regionale,null,01/10/2025,Lombardia,Tutte,01/10/2025 14:10,2025-11-15,2025-11-15
In Programma,14/11/2025,14/11/2025,ASTRA,Aereo,PERSONALE SOC. ENAV,4 ORE: DALLE 13.00 ALLE 17.00,Nazionale,null,09/09/2025,Italia,Tutte,09/09/2025 19:42,2025-11-14,2025-11-14
In Programma,14/11/2025,14/11/2025,FLAI TRASPORTI E SERVIZI,Aereo,PERSONALE AZIENDE HANDLING ASSOCIATE ASSOHANDLERS OPERANTI NEI SEDIMI AEROPORTUALI ITALIANI,24 ORE,Nazionale,null,01/10/2025,Italia,Tutte,01/10/2025 19:47,2025-11-14,2025-11-14
"Revocato (include le azioni di revoca, sospensione e differimento)",14/11/2025,14/11/2025,OSR FILT-CGIL/FIT-CISL/UILT-UIL/UGL T.A.,Aereo,PERSONALE SOC. GESAP AEROPORTO DI PALERMO,24 ORE: DALLE 00.00 ALLE 23.59,Interregionale,null,05/09/2025,Sicilia,Tutte,05/09/2025 13:49,2025-11-14,2025-11-14
In Programma,07/11/2025,07/11/2025,OSP CUB TRASPORTI,Trasporto pubblico locale,PERSONALE SOC. AMAT DI PALERMO,24 ORE,Locale,null,03/10/2025,Sicilia,Palermo,03/10/2025 15:36,2025-11-07,2025-11-07
"Revocato (include le azioni di revoca, sospensione e differimento)",31/10/2025,31/10/2025,OSP CUB TRASPORTI,Trasporto pubblico locale,PERSONALE SOC. AMAT DI PALERMO,24 ORE,Locale,null,01/10/2025,Sicilia,Palermo,01/10/2025 14:49,2025-10-31,2025-10-31
In Programma,29/10/2025,29/10/2025,FLAI TRASPORTI E SERVIZI,Aereo,PERSONALE SOC. AIRPORT HANDLING AEROPORTI DI MILANO LINATE E MALPENSA,24 ORE,Nazionale,null,01/10/2025,Italia,Tutte,02/10/2025 09:07,2025-10-29,2025-10-29
In Programma,29/10/2025,29/10/2025,OSP FILT-CGIL,Aereo,PERSONALE SOC. SWISSPORT ITALIA AEROPORTO DI MILANO LINATE,24 ORE,Nazionale,null,03/09/2025,Italia,Tutte,03/09/2025 10:22,2025-10-29,2025-10-29
